bin_pos	Sum_Signal	repeat_percentage
chr1-4425000-4430000	10	0.0444
chr1-4880000-4885000	19	0.224
chr1-4935000-4940000	14	0.0388
chr1-4945000-4950000	39	0.1264
chr1-5125000-5130000	6	0.0556
chr1-5165000-5170000	18	0.1074
chr1-5345000-5350000	5	0.0136
chr1-5385000-5390000	36	0.2172
chr1-5405000-5410000	14	0.0834
chr1-5495000-5500000	5	0.0176
chr1-5850000-5855000	16	0.0746
chr1-6130000-6135000	27	0.0922
chr1-6710000-6715000	48	0.2484
chr1-7100000-7105000	228	0.816
chr1-7495000-7500000	212	0.7376
chr1-7785000-7790000	68	0.204
chr1-7790000-7795000	126	0.6136
chr1-7810000-7815000	50	0.2926
chr1-7840000-7845000	15	0.089
chr1-8065000-8070000	27	0.0712
chr1-8150000-8155000	37	0.1808
chr1-8175000-8180000	50	0.1386
chr1-8225000-8230000	33	0.1632
chr1-8540000-8545000	18	0.0632
chr1-8590000-8595000	28	0.0966
chr1-8740000-8745000	48	0.2212
chr1-8895000-8900000	90	0.4252
chr1-8910000-8915000	18	0.0724
chr1-8935000-8940000	20	0.0804
chr1-9030000-9035000	31	0.2726
chr1-9035000-9040000	18	0.1134
chr1-9090000-9095000	12	0.0744
chr1-9095000-9100000	64	0.4116
chr1-9260000-9265000	54	0.2796
chr1-9285000-9290000	128	0.4456
chr1-9395000-9400000	22	0.0944
chr1-9425000-9430000	17	0.059
chr1-9460000-9465000	15	0.0868
chr1-10485000-10490000	13	0.068
chr1-10660000-10665000	56	0.2784
chr1-10750000-10755000	18	0.1122
chr1-10925000-10930000	35	0.106
chr1-10950000-10955000	16	0.0308
chr1-11365000-11370000	7	0.0396
chr1-11755000-11760000	41	0.161
chr1-11880000-11885000	38	0.1406
chr1-11945000-11950000	100	0.318
chr1-12055000-12060000	26	0.0918
chr1-12210000-12215000	18	0.1036
chr1-12215000-12220000	276	0.9272
chr1-12220000-12225000	146	0.7296
chr1-12385000-12390000	198	0.5984
chr1-12405000-12410000	17	0.0376
chr1-12410000-12415000	111	0.254
chr1-12435000-12440000	112	0.4244
chr1-12535000-12540000	61	0.1948
chr1-12560000-12565000	774	1
chr1-12635000-12640000	141	0.5778
chr1-12640000-12645000	484	1
chr1-12655000-12660000	21	0.0882
chr1-12745000-12750000	98	0.4252
chr1-13695000-13700000	18	0.095
chr1-13940000-13945000	28	0.1782
chr1-14040000-14045000	140	0.8072
chr1-14375000-14380000	102	0.6704
chr1-14380000-14385000	37	0.1994
chr1-14435000-14440000	30	0.1014
chr1-14545000-14550000	49	0.1302
chr1-14785000-14790000	102	0.2464
chr1-14805000-14810000	496	1
chr1-14815000-14820000	31	0.1296
chr1-14840000-14845000	462	1
chr1-15260000-15265000	29	0.0844
chr1-15265000-15270000	17	0.066
chr1-15305000-15310000	39	0.1422
chr1-15310000-15315000	34	0.098
chr1-15320000-15325000	44	0.1848
chr1-15340000-15345000	32	0.121
chr1-15395000-15400000	17	0.08
chr1-15400000-15405000	40	0.1474
chr1-15585000-15590000	66	0.4028
chr1-15675000-15680000	66	0.191
chr1-15980000-15985000	294	0.9366
chr1-16100000-16105000	40	0.203
chr1-16105000-16110000	226	1
chr1-16230000-16235000	20	0.0636
chr1-16905000-16910000	70	0.1936
chr1-17155000-17160000	27	0.1372
chr1-17300000-17305000	36	0.2644
chr1-17755000-17760000	22	0.1086
chr1-18230000-18235000	23	0.0752
chr1-18410000-18415000	340	1
chr1-18845000-18850000	17	0.1064
chr1-19000000-19005000	46	0.2358
chr1-19130000-19135000	6	0.0326
chr1-19535000-19540000	25	0.0906
chr1-19540000-19545000	75	0.706
chr1-19545000-19550000	345	1
chr1-19550000-19555000	22	0.2068
chr1-19585000-19590000	24	0.0556
chr1-19730000-19735000	40	0.0972
chr1-19930000-19935000	14	0.1102
chr1-20015000-20020000	51	0.2624
chr1-20155000-20160000	103	0.6368
chr1-20160000-20165000	164	0.4476
chr1-20165000-20170000	24	0.108
chr1-20175000-20180000	10	0.0066
chr1-20180000-20185000	8	0.0246
chr1-20215000-20220000	17	0.0682
chr1-20420000-20425000	49	0.3044
chr1-20505000-20510000	27	0.0814
chr1-21035000-21040000	36	0.225
chr1-21310000-21315000	25	0.0824
chr1-21490000-21495000	90	0.3756
chr1-21500000-21505000	30	0.1172
chr1-21790000-21795000	128	0.3344
chr1-21795000-21800000	45	0.1508
chr1-21835000-21840000	13	0.0404
chr1-21860000-21865000	19	0.1078
chr1-22045000-22050000	26	0.0964
chr1-22055000-22060000	15	0.0584
chr1-22435000-22440000	32	0.167
chr1-22440000-22445000	53	0.2678
chr1-22450000-22455000	9	0.0554
chr1-22465000-22470000	30	0.189
chr1-22480000-22485000	53	0.3806
chr1-22485000-22490000	22	0.1048
chr1-23000000-23005000	122	0.7042
chr1-23020000-23025000	198	0.7136
chr1-23200000-23205000	14	0.0614
chr1-23360000-23365000	448	1
chr1-23365000-23370000	6	0.0222
chr1-23875000-23880000	180	0.7248
chr1-23880000-23885000	10	0.037
chr1-23945000-23950000	57	0.415
chr1-24485000-24490000	130	0.394
chr1-24490000-24495000	80	0.4256
chr1-24890000-24895000	31	0.1154
chr1-24975000-24980000	166	0.7284
chr1-25105000-25110000	23	0.083
chr1-25155000-25160000	28	0.1356
chr1-25260000-25265000	20	0.142
chr1-25345000-25350000	19	0.0566
chr1-25525000-25530000	28	0.1104
chr1-25940000-25945000	84	0.3524
chr1-25945000-25950000	14	0.0532
chr1-25955000-25960000	44	0.1824
chr1-26265000-26270000	117	0.4974
chr1-26370000-26375000	5	0.0198
chr1-27035000-27040000	12	0.079
chr1-27080000-27085000	120	0.4072
chr1-27145000-27150000	16	0.0486
chr1-27275000-27280000	16	0.0874
chr1-27680000-27685000	132	0.7048
chr1-27715000-27720000	24	0.0682
chr1-27790000-27795000	29	0.122
chr1-27915000-27920000	26	0.041
chr1-28000000-28005000	9	0.0596
chr1-28060000-28065000	23	0.0686
chr1-28380000-28385000	52	0.3044
chr1-28980000-28985000	23	0.0788
chr1-29190000-29195000	8	0.0212
chr1-29560000-29565000	36	0.1528
chr1-29840000-29845000	64	0.2828
chr1-30090000-30095000	19	0.078
chr1-30135000-30140000	31	0.1412
chr1-30140000-30145000	28	0.3126
chr1-30200000-30205000	130	0.6256
chr1-30715000-30720000	38	0.0992
chr1-30735000-30740000	73	0.1558
chr1-30825000-30830000	15	0.0306
chr1-30830000-30835000	25	0.0658
chr1-31135000-31140000	17	0.1126
chr1-31210000-31215000	14	0.0854
chr1-31455000-31460000	182	0.5672
chr1-31885000-31890000	31	0.0996
chr1-32145000-32150000	276	0.9702
chr1-32305000-32310000	35	0.1074
chr1-32410000-32415000	57	0.272
chr1-32415000-32420000	89	0.5936
chr1-32455000-32460000	90	0.502
chr1-32550000-32555000	15	0.1206
chr1-32910000-32915000	17	0.1184
chr1-33035000-33040000	19	0.1144
chr1-33060000-33065000	180	1
chr1-33065000-33070000	400	1
chr1-33125000-33130000	15	0.0514
chr1-34860000-34865000	21	0.0898
chr1-34890000-34895000	25	0.1404
chr1-34965000-34970000	23	0.1242
chr1-35030000-35035000	194	0.7156
chr1-35060000-35065000	180	0.6432
chr1-35125000-35130000	72	0.3996
chr1-35155000-35160000	6	0.0498
chr1-35160000-35165000	86	0.2396
chr1-35165000-35170000	21	0.0996
chr1-35280000-35285000	436	1
chr1-35465000-35470000	27	0.1354
chr1-35490000-35495000	128	0.5508
chr1-35525000-35530000	40	0.1596
chr1-35530000-35535000	174	0.4194
chr1-36140000-36145000	12	0.0544
chr1-36410000-36415000	6	0.0326
chr1-37550000-37555000	48	0.0796
chr1-37555000-37560000	22	0.1042
chr1-37910000-37915000	264	1
chr1-38375000-38380000	30	0.1518
chr1-38590000-38595000	27	0.1378
chr1-38655000-38660000	116	0.4348
chr1-38705000-38710000	48	0.3014
chr1-38740000-38745000	156	0.4806
chr1-38790000-38795000	130	0.4188
chr1-38810000-38815000	4	0.0064
chr1-38815000-38820000	10	0.0192
chr1-38955000-38960000	33	0.0992
chr1-38975000-38980000	122	0.488
chr1-39900000-39905000	15	0.0686
chr1-40020000-40025000	49	0.1946
chr1-40025000-40030000	32	0.1
chr1-40100000-40105000	20	0.0722
chr1-40110000-40115000	22	0.1298
chr1-40450000-40455000	525	1
chr1-40455000-40460000	208	0.5
chr1-40460000-40465000	195	0.5454
chr1-40465000-40470000	390	1
chr1-40475000-40480000	132	0.5268
chr1-40495000-40500000	27	0.2328
chr1-40500000-40505000	54	0.3144
chr1-40520000-40525000	33	0.106
chr1-40775000-40780000	43	0.1794
chr1-40870000-40875000	35	0.1266
chr1-40890000-40895000	202	0.7392
chr1-40895000-40900000	25	0.0902
chr1-40955000-40960000	17	0.0774
chr1-41030000-41035000	26	0.0964
chr1-41165000-41170000	198	0.9196
chr1-41200000-41205000	60	0.2888
chr1-41420000-41425000	30	0.1426
chr1-41440000-41445000	59	0.1642
chr1-41445000-41450000	14	0.0476
chr1-42205000-42210000	41	0.158
chr1-42235000-42240000	396	1
chr1-42240000-42245000	23	0.135
chr1-42250000-42255000	88	1
chr1-42255000-42260000	33	0.1482
chr1-42300000-42305000	486	1
chr1-42500000-42505000	29	0.183
chr1-42515000-42520000	34	0.2222
chr1-42585000-42590000	80	0.3468
chr1-42710000-42715000	103	0.342
chr1-42750000-42755000	2	0.0178
chr1-42855000-42860000	380	1
chr1-42860000-42865000	64	0.2514
chr1-42910000-42915000	508	1
chr1-42915000-42920000	207	1
chr1-42960000-42965000	14	0.1004
chr1-43045000-43050000	37	0.133
chr1-43105000-43110000	27	0.2174
chr1-43195000-43200000	17	0.109
chr1-43255000-43260000	35	0.1736
chr1-43320000-43325000	9	0.0448
chr1-43325000-43330000	408	1
chr1-43485000-43490000	51	0.219
chr1-43490000-43495000	2	0.0136
chr1-43495000-43500000	19	0.0858
chr1-43510000-43515000	37	0.0892
chr1-43815000-43820000	41	0.1058
chr1-43840000-43845000	31	0.1748
chr1-44095000-44100000	17	0.1004
chr1-44140000-44145000	24	0.202
chr1-44145000-44150000	40	0.1318
chr1-44430000-44435000	15	0.0726
chr1-44885000-44890000	605	1
chr1-44890000-44895000	282	0.9276
chr1-44930000-44935000	27	0.127
chr1-45020000-45025000	14	0.1306
chr1-45160000-45165000	33	0.5292
chr1-45175000-45180000	34	0.1484
chr1-45180000-45185000	18	0.4268
chr1-45195000-45200000	20	0.0876
chr1-45255000-45260000	428	1
chr1-45280000-45285000	18	0.087
chr1-45285000-45290000	90	1
chr1-45335000-45340000	60	0.1718
chr1-45820000-45825000	13	0.0624
chr1-45850000-45855000	55	0.3428
chr1-46095000-46100000	24	0.0904
chr1-46150000-46155000	21	0.0752
chr1-46390000-46395000	164	0.5272
chr1-47525000-47530000	49	0.1712
chr1-47530000-47535000	13	0.0552
chr1-47590000-47595000	35	0.178
chr1-48335000-48340000	16	0.124
chr1-48410000-48415000	36	0.268
chr1-48970000-48975000	7	0.0204
chr1-48995000-49000000	8	0.044
chr1-49025000-49030000	39	0.2414
chr1-49060000-49065000	11	0.0716
chr1-49075000-49080000	26	0.1512
chr1-49110000-49115000	35	0.29
chr1-49140000-49145000	19	0.0858
chr1-49145000-49150000	102	0.6052
chr1-49290000-49295000	5	0.0318
chr1-49295000-49300000	18	0.071
chr1-49540000-49545000	16	0.098
chr1-49555000-49560000	21	0.1534
chr1-49575000-49580000	70	0.766
chr1-49635000-49640000	10	0.07
chr1-49650000-49655000	56	0.453
chr1-49725000-49730000	2	0.012
chr1-49735000-49740000	19	0.2416
chr1-49765000-49770000	71	0.771
chr1-49845000-49850000	19	0.1056
chr1-49890000-49895000	6	0.0282
chr1-49910000-49915000	49	0.331
chr1-49930000-49935000	10	0.109
chr1-50755000-50760000	532	1
chr1-50860000-50865000	60	0.2458
chr1-50890000-50895000	336	1
chr1-50895000-50900000	112	0.4252
chr1-50910000-50915000	260	1
chr1-50920000-50925000	166	0.7684
chr1-51005000-51010000	65	0.7072
chr1-51385000-51390000	168	1
chr1-51845000-51850000	39	0.2964
chr1-51905000-51910000	36	0.1388
chr1-52215000-52220000	360	1
chr1-52525000-52530000	13	0.0454
chr1-52540000-52545000	67	0.1848
chr1-52620000-52625000	14	0.0628
chr1-52695000-52700000	5	0.0142
chr1-52980000-52985000	72	0.3716
chr1-53000000-53005000	16	0.1004
chr1-53095000-53100000	76	0.0936
chr1-53100000-53105000	56	0.1088
chr1-53110000-53115000	31	0.1208
chr1-53135000-53140000	158	0.6108
chr1-53205000-53210000	260	0.9136
chr1-53355000-53360000	19	0.0664
chr1-53740000-53745000	18	0.0848
chr1-53840000-53845000	11	0.059
chr1-53930000-53935000	87	0.3142
chr1-53935000-53940000	80	0.2376
chr1-54000000-54005000	129	1
chr1-54005000-54010000	6	0.0182
chr1-54070000-54075000	34	0.1176
chr1-54120000-54125000	21	0.0928
chr1-54445000-54450000	38	0.9146
chr1-54450000-54455000	22	0.0944
chr1-54790000-54795000	54	0.1378
chr1-54930000-54935000	21	0.165
chr1-55180000-55185000	108	0.5988
chr1-55200000-55205000	6	0.035
chr1-55225000-55230000	260	1
chr1-56005000-56010000	2	0.0352
chr1-56145000-56150000	12	0.0748
chr1-58825000-58830000	16	0.0676
chr1-58890000-58895000	46	0.1516
chr1-58930000-58935000	18	0.1176
chr1-59155000-59160000	29	0.129
chr1-60580000-60585000	13	0.0564
chr1-60960000-60965000	26	0.118
chr1-60965000-60970000	237	1
chr1-61035000-61040000	130	0.4988
chr1-61105000-61110000	156	0.7596
chr1-61215000-61220000	64	0.1496
chr1-61385000-61390000	33	0.1134
chr1-61555000-61560000	12	0.0558
chr1-62745000-62750000	19	0.1228
chr1-63430000-63435000	31	0.2486
chr1-63470000-63475000	22	0.1556
chr1-65085000-65090000	144	0.6312
chr1-65320000-65325000	94	0.3512
chr1-65455000-65460000	243	1
chr1-65460000-65465000	130	1
chr1-65465000-65470000	190	1
chr1-65530000-65535000	25	0.1136
chr1-65645000-65650000	19	0.103
chr1-65650000-65655000	23	0.0938
chr1-65660000-65665000	14	0.0974
chr1-65975000-65980000	33	0.312
chr1-66385000-66390000	22	0.2
chr1-66750000-66755000	12	0.0538
chr1-66915000-66920000	65	0.543
chr1-67065000-67070000	68	0.3064
chr1-67085000-67090000	4	0.0272
chr1-67270000-67275000	29	0.1004
chr1-67380000-67385000	132	0.7984
chr1-67480000-67485000	14	0.0982
chr1-67505000-67510000	11	0.0508
chr1-67515000-67520000	37	0.2456
chr1-67900000-67905000	76	0.7804
chr1-67960000-67965000	4	0.0214
chr1-68575000-68580000	49	0.4012
chr1-68620000-68625000	36	0.2462
chr1-68630000-68635000	7	0.0428
chr1-68970000-68975000	6	0.04
chr1-69025000-69030000	43	0.264
chr1-69105000-69110000	9	0.0398
chr1-69155000-69160000	73	0.67
chr1-69160000-69165000	30	0.2324
chr1-69200000-69205000	9	0.075
chr1-69220000-69225000	6	0.0578
chr1-69485000-69490000	31	0.3978
chr1-69560000-69565000	22	0.2702
chr1-69890000-69895000	37	0.2898
chr1-70615000-70620000	30	0.2212
chr1-70675000-70680000	4	0.0152
chr1-70710000-70715000	17	0.1048
chr1-70745000-70750000	471	1
chr1-70750000-70755000	224	0.6396
chr1-70935000-70940000	41	0.2242
chr1-70960000-70965000	29	0.1092
chr1-71230000-71235000	7	0.012
chr1-71250000-71255000	1	0.038
chr1-71355000-71360000	23	0.3282
chr1-71405000-71410000	6	0.0264
chr1-71600000-71605000	14	0.1122
chr1-71700000-71705000	12	0.097
chr1-71710000-71715000	15	0.1294
chr1-71800000-71805000	22	0.2428
chr1-71910000-71915000	9	0.0562
chr1-71925000-71930000	4	0.0304
chr1-71995000-72000000	5	0.0582
chr1-72060000-72065000	13	0.065
chr1-72090000-72095000	7	0.0312
chr1-72580000-72585000	14	0.077
chr1-72665000-72670000	12	0.0872
chr1-72730000-72735000	15	0.0968
chr1-72815000-72820000	11	0.1012
chr1-73040000-73045000	13	0.0582
chr1-73055000-73060000	15	0.2832
chr1-73070000-73075000	16	0.1232
chr1-73170000-73175000	20	0.1402
chr1-73555000-73560000	12	0.0774
chr1-73825000-73830000	18	0.1182
chr1-74725000-74730000	52	0.321
chr1-74735000-74740000	23	0.154
chr1-74740000-74745000	135	0.819
chr1-74745000-74750000	6	0.1288
chr1-74755000-74760000	20	0.1044
chr1-74820000-74825000	8	0.0424
chr1-74825000-74830000	12	0.0658
chr1-74915000-74920000	10	0.087
chr1-75070000-75075000	9	0.0638
chr1-75365000-75370000	222	0.8912
chr1-75385000-75390000	20	0.2398
chr1-75415000-75420000	13	0.0792
chr1-75645000-75650000	228	1
chr1-75720000-75725000	50	0.1934
chr1-75750000-75755000	14	0.0712
chr1-75755000-75760000	48	0.3312
chr1-75780000-75785000	14	0.1292
chr1-76380000-76385000	9	0.0474
chr1-76460000-76465000	7	0.0632
chr1-76515000-76520000	2	0.0096
chr1-76650000-76655000	3	0.0244
chr1-76665000-76670000	16	0.0742
chr1-76745000-76750000	6	0.0262
chr1-77650000-77655000	22	0.0958
chr1-77780000-77785000	12	0.0604
chr1-77785000-77790000	5	0.069
chr1-78255000-78260000	40	0.6048
chr1-78285000-78290000	6	0.0392
chr1-78595000-78600000	22	0.1316
chr1-78650000-78655000	2	0.0102
chr1-78765000-78770000	31	0.1898
chr1-78775000-78780000	33	0.2546
chr1-78910000-78915000	6	0.057
chr1-78920000-78925000	48	0.2532
chr1-79045000-79050000	26	0.1698
chr1-79225000-79230000	6	0.0496
chr1-79435000-79440000	9	0.0876
chr1-79530000-79535000	12	0.0836
chr1-79540000-79545000	11	0.0338
chr1-79570000-79575000	12	0.0802
chr1-79905000-79910000	3	0.0334
chr1-79910000-79915000	5	0.0256
chr1-79955000-79960000	35	0.2808
chr1-80225000-80230000	21	0.1802
chr1-80325000-80330000	16	0.081
chr1-80375000-80380000	8	0.0812
chr1-80490000-80495000	8	0.1228
chr1-80590000-80595000	26	0.273
chr1-80710000-80715000	35	0.4878
chr1-80730000-80735000	15	0.1224
chr1-81210000-81215000	4	0.0116
chr1-81295000-81300000	23	0.1584
chr1-81390000-81395000	5	0.0138
chr1-81895000-81900000	2	0.0362
chr1-82200000-82205000	4	0.0684
chr1-82240000-82245000	17	0.1456
chr1-82445000-82450000	12	0.0902
chr1-83540000-83545000	11	0.0678
chr1-84190000-84195000	3	0.0104
chr1-84285000-84290000	17	0.1444
chr1-84475000-84480000	61	0.179
chr1-84610000-84615000	192	0.5708
chr1-84615000-84620000	17	0.0766
chr1-85245000-85250000	29	0.314
chr1-85620000-85625000	4	0.0172
chr1-85745000-85750000	31	0.1984
chr1-86000000-86005000	57	0.5584
chr1-86020000-86025000	5	0.024
chr1-86030000-86035000	10	0.0484
chr1-86460000-86465000	94	0.4156
chr1-86760000-86765000	19	0.0736
chr1-86900000-86905000	5	0.0392
chr1-86920000-86925000	672	1
chr1-86925000-86930000	118	0.658
chr1-87010000-87015000	624	1
chr1-87945000-87950000	5	0.0508
chr1-88265000-88270000	2	0.011
chr1-88315000-88320000	6	0.0248
chr1-88425000-88430000	53	0.5078
chr1-88430000-88435000	72	0.595
chr1-88735000-88740000	64	0.273
chr1-88915000-88920000	74	0.5172
chr1-89095000-89100000	39	0.3712
chr1-89530000-89535000	54	0.2664
chr1-89560000-89565000	18	0.0396
chr1-89565000-89570000	17	0.0766
chr1-89645000-89650000	18	0.082
chr1-89825000-89830000	54	0.1708
chr1-89880000-89885000	45	0.1138
chr1-89920000-89925000	51	0.3024
chr1-90815000-90820000	20	0.0892
chr1-90875000-90880000	51	0.2748
chr1-90925000-90930000	37	0.2134
chr1-90985000-90990000	148	0.9968
chr1-90995000-91000000	19	0.1584
chr1-91305000-91310000	110	0.4932
chr1-91460000-91465000	10	0.0812
chr1-91660000-91665000	23	0.1308
chr1-91745000-91750000	82	0.276
chr1-91940000-91945000	18	0.1262
chr1-92085000-92090000	51	0.18
chr1-92325000-92330000	246	1
chr1-92385000-92390000	47	0.3196
chr1-92400000-92405000	84	0.5296
chr1-92650000-92655000	156	0.914
chr1-92655000-92660000	24	0.1118
chr1-92750000-92755000	16	0.0952
chr1-93070000-93075000	39	0.3
chr1-93080000-93085000	284	0.9444
chr1-93105000-93110000	88	0.4384
chr1-93240000-93245000	41	0.3012
chr1-93250000-93255000	24	0.109
chr1-93260000-93265000	550	1
chr1-93385000-93390000	40	0.2316
chr1-93425000-93430000	47	0.36
chr1-93430000-93435000	82	0.5824
chr1-93505000-93510000	18	0.1316
chr1-93830000-93835000	31	0.215
chr1-93910000-93915000	1	0.007
chr1-93955000-93960000	58	0.3674
chr1-94450000-94455000	12	0.0606
chr1-95085000-95090000	138	0.5068
chr1-95090000-95095000	58	0.2212
chr1-95240000-95245000	37	0.1302
chr1-95775000-95780000	6	0.0386
chr1-96125000-96130000	16	0.1548
chr1-96225000-96230000	7	0.0962
chr1-96280000-96285000	31	0.3864
chr1-96380000-96385000	38	0.5392
chr1-96755000-96760000	5	0.0426
chr1-96760000-96765000	7	0.0282
chr1-96890000-96895000	13	0.1414
chr1-97010000-97015000	11	0.0774
chr1-97140000-97145000	15	0.093
chr1-97155000-97160000	23	0.2182
chr1-97175000-97180000	13	0.0736
chr1-97205000-97210000	10	0.0192
chr1-97275000-97280000	2	0.0364
chr1-97485000-97490000	16	0.0976
chr1-97705000-97710000	21	0.198
chr1-97815000-97820000	6	0.0476
chr1-97840000-97845000	12	0.0922
chr1-98255000-98260000	23	0.2776
chr1-98280000-98285000	9	0.1342
chr1-98445000-98450000	6	0.0064
chr1-98450000-98455000	5	0.044
chr1-98515000-98520000	74	0.844
chr1-98585000-98590000	18	0.1492
chr1-98645000-98650000	9	0.101
chr1-98705000-98710000	27	0.216
chr1-98900000-98905000	17	0.1148
chr1-98905000-98910000	8	0.0414
chr1-99595000-99600000	8	0.0348
chr1-99605000-99610000	154	0.918
chr1-99755000-99760000	6	0.0258
chr1-99840000-99845000	12	0.0718
chr1-99990000-99995000	186	0.9558
chr1-100000000-100005000	45	0.2268
chr1-100005000-100010000	68	0.3408
chr1-100035000-100040000	28	0.1224
chr1-100260000-100265000	141	1
chr1-100265000-100270000	8	0.0336
chr1-100405000-100410000	86	0.4408
chr1-100550000-100555000	45	0.4518
chr1-100815000-100820000	2	0.0078
chr1-100820000-100825000	51	1
chr1-100885000-100890000	80	0.3752
chr1-100890000-100895000	189	0.9774
chr1-101035000-101040000	2	0.0122
chr1-101040000-101045000	144	0.7724
chr1-101620000-101625000	64	0.5712
chr1-101850000-101855000	20	0.3236
chr1-102075000-102080000	6	0.039
chr1-102200000-102205000	23	0.1766
chr1-102360000-102365000	21	0.1484
chr1-102480000-102485000	18	0.1238
chr1-102875000-102880000	10	0.0612
chr1-102890000-102895000	11	0.064
chr1-102900000-102905000	8	0.0508
chr1-102910000-102915000	3	0.074
chr1-102975000-102980000	9	0.0276
chr1-103115000-103120000	32	0.2852
chr1-103305000-103310000	8	0.0452
chr1-103320000-103325000	3	0.008
chr1-103425000-103430000	14	0.058
chr1-103470000-103475000	10	0.0678
chr1-103800000-103805000	28	0.4398
chr1-103975000-103980000	7	0.0338
chr1-104045000-104050000	110	1
chr1-104455000-104460000	10	0.073
chr1-104475000-104480000	15	0.1068
chr1-104550000-104555000	25	0.271
chr1-104555000-104560000	10	0.0788
chr1-104635000-104640000	17	0.1148
chr1-104790000-104795000	13	0.0884
chr1-105200000-105205000	19	0.169
chr1-105245000-105250000	7	0.088
chr1-105265000-105270000	9	0.0794
chr1-105280000-105285000	10	0.0704
chr1-105555000-105560000	5	0.028
chr1-105790000-105795000	5	0.057
chr1-105880000-105885000	57	1
chr1-105885000-105890000	4	0.031
chr1-106030000-106035000	22	0.2626
chr1-106170000-106175000	17	0.1152
chr1-106175000-106180000	10	0.041
chr1-106180000-106185000	14	0.0632
chr1-106390000-106395000	8	0.0224
chr1-106420000-106425000	19	0.1052
chr1-106465000-106470000	35	0.3232
chr1-106655000-106660000	41	0.2846
chr1-106690000-106695000	56	0.4896
chr1-106835000-106840000	8	0.0418
chr1-106925000-106930000	19	0.113
chr1-107210000-107215000	4	0.0146
chr1-107280000-107285000	7	0.0544
chr1-107295000-107300000	4	0.0344
chr1-108170000-108175000	504	1
chr1-108175000-108180000	70	0.284
chr1-108185000-108190000	21	0.0732
chr1-108190000-108195000	168	0.6672
chr1-108360000-108365000	32	0.8834
chr1-108365000-108370000	12	0.08
chr1-108520000-108525000	72	0.354
chr1-108525000-108530000	34	0.1316
chr1-108780000-108785000	288	1
chr1-108785000-108790000	528	1
chr1-108790000-108795000	84	0.2504
chr1-109215000-109220000	8	0.0344
chr1-109330000-109335000	516	1
chr1-109380000-109385000	30	0.0788
chr1-109430000-109435000	43	0.2638
chr1-109700000-109705000	146	0.9544
chr1-109705000-109710000	212	1
chr1-109725000-109730000	258	1
chr1-109745000-109750000	35	0.8162
chr1-109815000-109820000	31	0.096
chr1-109835000-109840000	432	1
chr1-109925000-109930000	21	0.1042
chr1-109935000-109940000	132	0.4832
chr1-109940000-109945000	5	0.032
chr1-109945000-109950000	7	0.0222
chr1-109975000-109980000	9	0.0206
chr1-110120000-110125000	6	0.0176
chr1-110325000-110330000	22	0.0898
chr1-110330000-110335000	24	0.0858
chr1-110910000-110915000	126	0.7264
chr1-110960000-110965000	18	0.0398
chr1-111000000-111005000	15	0.1744
chr1-111060000-111065000	68	0.5336
chr1-111100000-111105000	113	0.5884
chr1-111595000-111600000	5	0.0492
chr1-111600000-111605000	92	0.1888
chr1-111675000-111680000	1070	1
chr1-111680000-111685000	97	0.77
chr1-112785000-112790000	22	0.0944
chr1-112890000-112895000	186	0.7024
chr1-112895000-112900000	29	0.1912
chr1-113210000-113215000	114	0.4656
chr1-113215000-113220000	66	0.3648
chr1-113475000-113480000	81	0.9968
chr1-113510000-113515000	15	0.0522
chr1-113565000-113570000	85	0.5252
