bin_pos	Sum_Signal	repeat_percentage
chr1-5380000-5385000	9	0.1126
chr1-5390000-5395000	18	0.135
chr1-5395000-5400000	7	0.1354
chr1-5405000-5410000	32	0.456
chr1-5410000-5415000	17	0.2518
chr1-5415000-5420000	10	0.2604
chr1-5425000-5430000	15	0.2936
chr1-5550000-5555000	18	0.3756
chr1-5670000-5675000	39	0.4812
chr1-7785000-7790000	11	0.172
chr1-7790000-7795000	18	0.392
chr1-12560000-12565000	19	0.4002
chr1-14375000-14380000	36	0.4348
chr1-14380000-14385000	53	0.9876
chr1-16105000-16110000	26	0.669
chr1-16540000-16545000	44	0.7878
chr1-16545000-16550000	3	0.0666
chr1-16725000-16730000	22	0.2512
chr1-16730000-16735000	35	0.7034
chr1-16770000-16775000	35	0.5698
chr1-16775000-16780000	32	0.3178
chr1-19545000-19550000	114	1
chr1-20035000-20040000	31	0.6936
chr1-20155000-20160000	40	0.6368
chr1-20160000-20165000	36	0.4836
chr1-22445000-22450000	8	0.0554
chr1-23355000-23360000	23	0.1748
chr1-23360000-23365000	32	0.2736
chr1-23365000-23370000	21	0.274
chr1-33060000-33065000	10	0.199
chr1-34625000-34630000	15	0.2452
chr1-40450000-40455000	9	0.0992
chr1-40455000-40460000	52	0.3576
chr1-40460000-40465000	86	0.5498
chr1-40465000-40470000	97	0.663
chr1-40470000-40475000	111	0.8376
chr1-40475000-40480000	13	0.0998
chr1-40480000-40485000	35	0.5076
chr1-40485000-40490000	44	0.7836
chr1-40500000-40505000	53	0.6616
chr1-40505000-40510000	9	0.134
chr1-40515000-40520000	49	0.5592
chr1-40520000-40525000	60	0.9962
chr1-40525000-40530000	70	0.9526
chr1-40530000-40535000	29	0.4176
chr1-40545000-40550000	22	0.2834
chr1-42235000-42240000	49	0.6968
chr1-42500000-42505000	15	0.2532
chr1-42505000-42510000	132	1
chr1-42510000-42515000	57	0.8182
chr1-42860000-42865000	54	0.6674
chr1-42895000-42900000	26	1
chr1-42900000-42905000	16	0.3162
chr1-45260000-45265000	42	0.5736
chr1-48210000-48215000	36	0.6202
chr1-48215000-48220000	22	0.5038
chr1-48225000-48230000	27	0.3542
chr1-48230000-48235000	15	0.172
chr1-48275000-48280000	45	0.993
chr1-48280000-48285000	57	0.994
chr1-48285000-48290000	160	1
chr1-48290000-48295000	37	0.5888
chr1-48325000-48330000	40	0.7012
chr1-48330000-48335000	73	1
chr1-48365000-48370000	73	0.9858
chr1-48370000-48375000	56	0.5184
chr1-48375000-48380000	9	0.0642
chr1-48385000-48390000	44	0.7174
chr1-48390000-48395000	10	0.1408
chr1-48405000-48410000	52	0.7682
chr1-48495000-48500000	13	0.261
chr1-48665000-48670000	2	0.0412
chr1-48705000-48710000	8	0.2578
chr1-48720000-48725000	3	0.0344
chr1-48785000-48790000	20	0.3154
chr1-48790000-48795000	49	0.5576
chr1-48795000-48800000	48	0.7158
chr1-48805000-48810000	32	0.3666
chr1-48810000-48815000	27	0.2432
chr1-48815000-48820000	18	0.145
chr1-48820000-48825000	77	0.823
chr1-48825000-48830000	27	0.428
chr1-48830000-48835000	17	0.238
chr1-48840000-48845000	6	0.0556
chr1-48845000-48850000	24	0.3524
chr1-48850000-48855000	6	0.053
chr1-48865000-48870000	16	0.1998
chr1-48870000-48875000	24	0.2788
chr1-48885000-48890000	38	0.4826
chr1-48890000-48895000	41	0.627
chr1-48900000-48905000	18	0.159
chr1-48910000-48915000	48	0.6448
chr1-48925000-48930000	24	0.2878
chr1-48935000-48940000	34	0.4752
chr1-48940000-48945000	90	0.9612
chr1-48945000-48950000	45	0.5164
chr1-48950000-48955000	18	0.1992
chr1-48955000-48960000	40	0.5322
chr1-48965000-48970000	17	0.2048
chr1-48970000-48975000	24	0.2712
chr1-48985000-48990000	56	1
chr1-48990000-48995000	45	0.753
chr1-48995000-49000000	56	0.566
chr1-49000000-49005000	26	0.399
chr1-49005000-49010000	51	0.9612
chr1-49010000-49015000	33	0.5796
chr1-49015000-49020000	26	0.3886
chr1-49020000-49025000	14	0.1332
chr1-49025000-49030000	32	0.4778
chr1-49030000-49035000	30	0.6182
chr1-49035000-49040000	40	0.5732
chr1-49045000-49050000	2	0.0788
chr1-49055000-49060000	77	0.8678
chr1-49060000-49065000	35	0.3424
chr1-49065000-49070000	43	0.6786
chr1-49075000-49080000	26	0.4196
chr1-49080000-49085000	72	0.6984
chr1-49085000-49090000	73	1
chr1-49095000-49100000	36	0.6634
chr1-49100000-49105000	27	0.4992
chr1-49105000-49110000	29	0.4578
chr1-49110000-49115000	40	0.5226
chr1-49120000-49125000	31	0.5358
chr1-49130000-49135000	34	0.3428
chr1-49135000-49140000	50	0.6336
chr1-49140000-49145000	37	0.5292
chr1-49145000-49150000	28	0.5646
chr1-49150000-49155000	16	0.2508
chr1-49155000-49160000	38	0.6268
chr1-49160000-49165000	43	0.5712
chr1-49175000-49180000	24	0.329
chr1-49180000-49185000	30	0.4568
chr1-49195000-49200000	67	0.813
chr1-49200000-49205000	96	1
chr1-49205000-49210000	31	0.3302
chr1-49210000-49215000	33	0.3886
chr1-49230000-49235000	37	0.4124
chr1-49250000-49255000	52	0.8504
chr1-49255000-49260000	55	0.9746
chr1-49265000-49270000	33	0.5772
chr1-49270000-49275000	22	0.3032
chr1-49285000-49290000	53	0.8722
chr1-49290000-49295000	47	0.4532
chr1-49305000-49310000	20	0.4038
chr1-49325000-49330000	12	0.1616
chr1-49330000-49335000	28	0.6662
chr1-49350000-49355000	35	0.5552
chr1-49355000-49360000	16	0.1934
chr1-49375000-49380000	9	0.1034
chr1-49380000-49385000	30	0.4626
chr1-49390000-49395000	38	0.52
chr1-49405000-49410000	18	0.2322
chr1-49410000-49415000	8	0.1274
chr1-49425000-49430000	56	0.7476
chr1-49430000-49435000	57	0.6946
chr1-49435000-49440000	32	0.5214
chr1-49515000-49520000	13	0.199
chr1-49520000-49525000	41	0.5162
chr1-49535000-49540000	9	0.138
chr1-49540000-49545000	39	0.6048
chr1-49585000-49590000	19	0.3652
chr1-49600000-49605000	47	0.8532
chr1-49605000-49610000	24	0.2736
chr1-49610000-49615000	140	1
chr1-49615000-49620000	41	0.6264
chr1-49650000-49655000	63	0.9684
chr1-49655000-49660000	50	0.8212
chr1-49660000-49665000	11	0.2238
chr1-49665000-49670000	6	0.0562
chr1-49685000-49690000	81	0.9098
chr1-49705000-49710000	44	0.9978
chr1-49750000-49755000	132	1
chr1-49755000-49760000	47	0.6614
chr1-49760000-49765000	32	0.282
chr1-49770000-49775000	42	0.7328
chr1-49815000-49820000	14	0.0952
chr1-49820000-49825000	40	1
chr1-49825000-49830000	24	0.3046
chr1-49830000-49835000	51	0.9976
chr1-49835000-49840000	82	1
chr1-49840000-49845000	45	0.5578
chr1-49845000-49850000	33	0.4504
chr1-49880000-49885000	18	0.235
chr1-49890000-49895000	38	0.6542
chr1-49905000-49910000	43	0.571
chr1-49910000-49915000	73	0.8582
chr1-49915000-49920000	67	0.9874
chr1-49920000-49925000	66	0.9236
chr1-49925000-49930000	57	0.7072
chr1-49965000-49970000	56	0.7146
chr1-49970000-49975000	42	0.7064
chr1-49975000-49980000	10	0.1036
chr1-49980000-49985000	142	1
chr1-49985000-49990000	15	0.2348
chr1-49990000-49995000	37	0.4374
chr1-49995000-50000000	53	1
chr1-50000000-50005000	13	0.2276
chr1-50005000-50010000	63	1
chr1-50035000-50040000	29	0.5114
chr1-50055000-50060000	28	0.421
chr1-50060000-50065000	27	0.332
chr1-50065000-50070000	8	0.0984
chr1-50070000-50075000	38	0.4648
chr1-50075000-50080000	48	0.565
chr1-50090000-50095000	13	0.0824
chr1-50180000-50185000	19	0.2752
chr1-50235000-50240000	52	0.6022
chr1-50240000-50245000	37	0.7238
chr1-50890000-50895000	170	1
chr1-50895000-50900000	26	0.4358
chr1-50925000-50930000	30	0.3446
chr1-53095000-53100000	3	0.0382
chr1-53100000-53105000	4	0.0862
chr1-55630000-55635000	3	0.0674
chr1-55635000-55640000	12	0.1314
chr1-55650000-55655000	11	0.1426
chr1-55690000-55695000	26	0.4504
chr1-55695000-55700000	8	0.1588
chr1-55720000-55725000	10	0.1652
chr1-55740000-55745000	5	0.155
chr1-55745000-55750000	36	0.5274
chr1-55800000-55805000	11	0.2128
chr1-55825000-55830000	30	0.5766
chr1-55850000-55855000	7	0.0422
chr1-55855000-55860000	9	0.0988
chr1-55925000-55930000	8	0.1064
chr1-55930000-55935000	36	0.5368
chr1-55935000-55940000	2	0.0086
chr1-55965000-55970000	8	0.3254
chr1-55970000-55975000	37	0.5638
chr1-55995000-56000000	35	0.4924
chr1-56035000-56040000	12	0.1668
chr1-56040000-56045000	30	0.509
chr1-56055000-56060000	10	0.1282
chr1-56060000-56065000	17	0.2374
chr1-56220000-56225000	21	0.2238
chr1-56225000-56230000	18	0.2994
chr1-56230000-56235000	7	0.0502
chr1-56255000-56260000	23	0.2698
chr1-56285000-56290000	24	0.3702
chr1-56290000-56295000	8	0.097
chr1-60170000-60175000	14	0.2134
chr1-60425000-60430000	30	0.4536
chr1-60435000-60440000	58	0.7532
chr1-60450000-60455000	30	0.4762
chr1-60965000-60970000	37	0.5428
chr1-65450000-65455000	56	0.9442
chr1-65455000-65460000	48	0.8762
chr1-65545000-65550000	64	1
chr1-65550000-65555000	92	0.9998
chr1-67065000-67070000	39	0.538
chr1-67070000-67075000	30	0.436
chr1-67075000-67080000	37	0.79
chr1-68525000-68530000	16	0.2182
chr1-68550000-68555000	44	0.7382
chr1-68555000-68560000	9	0.115
chr1-68560000-68565000	16	0.454
chr1-68595000-68600000	30	0.6292
chr1-68620000-68625000	47	0.5074
chr1-68695000-68700000	28	0.4118
chr1-68700000-68705000	31	0.4332
chr1-68705000-68710000	11	0.3038
chr1-68710000-68715000	29	0.3902
chr1-68740000-68745000	38	0.6628
chr1-68860000-68865000	60	0.9618
chr1-68865000-68870000	33	0.4348
chr1-68920000-68925000	23	0.4806
chr1-68925000-68930000	22	0.3858
chr1-68960000-68965000	26	0.3044
chr1-68965000-68970000	29	0.55
chr1-68970000-68975000	6	0.1444
chr1-68975000-68980000	8	0.1354
chr1-68980000-68985000	40	0.636
chr1-68985000-68990000	98	1
chr1-68990000-68995000	23	0.3952
chr1-69000000-69005000	39	0.5696
chr1-69110000-69115000	16	0.2454
chr1-70590000-70595000	37	0.8002
chr1-70705000-70710000	13	0.2126
chr1-70745000-70750000	140	1
chr1-70750000-70755000	90	1
chr1-70800000-70805000	32	0.5798
chr1-70805000-70810000	31	0.5332
chr1-70940000-70945000	15	0.4012
chr1-71080000-71085000	36	0.5708
chr1-71085000-71090000	98	1
chr1-71090000-71095000	28	0.341
chr1-71150000-71155000	54	0.8556
chr1-71155000-71160000	58	0.4302
chr1-71160000-71165000	37	0.4052
chr1-71165000-71170000	13	0.1472
chr1-71170000-71175000	45	0.7636
chr1-71180000-71185000	49	0.766
chr1-71185000-71190000	34	0.4724
chr1-71190000-71195000	13	0.3034
chr1-71195000-71200000	23	0.2642
chr1-71200000-71205000	21	0.2828
chr1-71205000-71210000	29	0.5214
chr1-71210000-71215000	36	0.4858
chr1-71230000-71235000	39	0.469
chr1-71235000-71240000	28	0.309
chr1-71285000-71290000	19	0.2032
chr1-71290000-71295000	63	0.7702
chr1-71295000-71300000	34	0.316
chr1-71300000-71305000	7	0.08
chr1-71340000-71345000	62	0.8844
chr1-71345000-71350000	7	0.072
chr1-71380000-71385000	43	0.736
chr1-71390000-71395000	51	0.6484
chr1-71395000-71400000	44	0.5904
chr1-71420000-71425000	17	0.1708
chr1-71470000-71475000	9	0.0874
chr1-71490000-71495000	17	0.1694
chr1-71505000-71510000	74	1
chr1-71510000-71515000	14	0.2146
chr1-71705000-71710000	44	0.7998
chr1-71710000-71715000	44	0.5836
chr1-71715000-71720000	12	0.193
chr1-71765000-71770000	49	0.7946
chr1-71795000-71800000	21	0.209
chr1-71830000-71835000	17	0.1784
chr1-72085000-72090000	3	0.0354
chr1-72370000-72375000	26	0.4546
chr1-72425000-72430000	29	0.6886
chr1-72435000-72440000	63	0.9942
chr1-72475000-72480000	20	0.3258
chr1-72480000-72485000	33	0.503
chr1-72535000-72540000	22	0.3994
chr1-72540000-72545000	31	0.4422
chr1-72645000-72650000	31	0.4882
chr1-72665000-72670000	21	0.2254
chr1-72700000-72705000	4	0.0484
chr1-72755000-72760000	48	0.5802
chr1-72760000-72765000	40	0.7274
chr1-72975000-72980000	11	0.1148
chr1-72980000-72985000	57	0.7072
chr1-72985000-72990000	63	0.612
chr1-73095000-73100000	8	0.0318
chr1-73160000-73165000	28	0.3858
chr1-73165000-73170000	23	0.2554
chr1-73175000-73180000	42	0.473
chr1-73180000-73185000	49	0.5106
chr1-73190000-73195000	47	0.7348
chr1-73195000-73200000	19	0.2594
chr1-73230000-73235000	26	0.4732
chr1-73325000-73330000	54	1
chr1-73330000-73335000	35	0.975
chr1-73340000-73345000	44	0.6162
chr1-73380000-73385000	42	0.5064
chr1-73525000-73530000	40	0.5426
chr1-73600000-73605000	30	0.5552
chr1-73715000-73720000	20	0.138
chr1-73725000-73730000	10	0.1898
chr1-73730000-73735000	21	0.2638
chr1-73790000-73795000	24	0.5208
chr1-73805000-73810000	15	0.1802
chr1-73815000-73820000	12	0.3184
chr1-73855000-73860000	16	0.164
chr1-73860000-73865000	19	0.2104
chr1-73885000-73890000	16	0.161
chr1-73950000-73955000	25	0.4232
chr1-73955000-73960000	5	0.0576
chr1-73980000-73985000	27	0.4856
chr1-73985000-73990000	15	0.2168
chr1-74305000-74310000	34	0.703
chr1-74350000-74355000	2	0.0444
chr1-74355000-74360000	13	0.189
chr1-74405000-74410000	1	0.061
chr1-74480000-74485000	8	0.123
chr1-74485000-74490000	40	0.6446
chr1-74490000-74495000	14	0.2208
chr1-74525000-74530000	20	0.4848
chr1-74530000-74535000	29	0.3764
chr1-74545000-74550000	21	0.2294
chr1-74555000-74560000	43	0.9104
chr1-74560000-74565000	11	0.1614
chr1-74565000-74570000	9	0.1044
chr1-74650000-74655000	12	0.2664
chr1-74655000-74660000	20	0.3214
chr1-74725000-74730000	25	0.321
chr1-74735000-74740000	21	0.154
chr1-74740000-74745000	114	0.9876
chr1-74745000-74750000	57	0.7202
chr1-74755000-74760000	30	0.4876
chr1-74855000-74860000	13	0.2024
chr1-74860000-74865000	60	0.9292
chr1-74865000-74870000	138	1
chr1-74870000-74875000	19	0.3022
chr1-74890000-74895000	41	0.6572
chr1-74895000-74900000	40	0.8012
chr1-74905000-74910000	13	0.1548
chr1-74935000-74940000	19	0.2702
chr1-74940000-74945000	43	0.6736
chr1-74975000-74980000	44	0.9108
chr1-74980000-74985000	29	0.4326
chr1-75005000-75010000	31	0.3684
chr1-75010000-75015000	5	0.0918
chr1-75030000-75035000	59	0.9848
chr1-75035000-75040000	68	1
chr1-75040000-75045000	33	0.5108
chr1-75065000-75070000	142	1
chr1-75070000-75075000	18	0.2776
chr1-75365000-75370000	116	1
chr1-75370000-75375000	72	0.944
chr1-75395000-75400000	5	0.0316
chr1-75410000-75415000	9	0.1592
chr1-75415000-75420000	44	0.565
chr1-75460000-75465000	40	0.7182
chr1-75475000-75480000	53	0.7478
chr1-75480000-75485000	49	0.7416
chr1-75485000-75490000	39	0.5526
chr1-75490000-75495000	29	0.5592
chr1-75645000-75650000	42	0.6066
chr1-76160000-76165000	10	0.1626
chr1-76310000-76315000	21	0.1588
chr1-76335000-76340000	27	0.35
chr1-76440000-76445000	5	0.0424
chr1-76445000-76450000	59	0.7352
chr1-76455000-76460000	30	0.5768
chr1-76470000-76475000	3	0.0872
chr1-76475000-76480000	37	0.3376
chr1-76485000-76490000	61	0.8498
chr1-76510000-76515000	13	0.1058
chr1-76595000-76600000	18	0.1426
chr1-76675000-76680000	4	0.0464
chr1-76680000-76685000	18	0.2756
chr1-76690000-76695000	44	0.6762
chr1-76695000-76700000	14	0.0924
chr1-76725000-76730000	21	0.294
chr1-76745000-76750000	40	0.6914
chr1-76750000-76755000	15	0.2218
chr1-76755000-76760000	9	0.1142
chr1-76760000-76765000	24	0.3178
chr1-76765000-76770000	16	0.3326
chr1-76770000-76775000	23	0.2062
chr1-76775000-76780000	7	0.1138
chr1-76780000-76785000	5	0.0398
chr1-76790000-76795000	32	0.5888
chr1-76895000-76900000	53	1
chr1-77645000-77650000	13	0.1724
chr1-77650000-77655000	47	0.9596
chr1-78115000-78120000	19	0.4998
chr1-78120000-78125000	33	0.5724
chr1-78150000-78155000	26	0.3688
chr1-78165000-78170000	26	0.236
chr1-78180000-78185000	26	0.5222
chr1-78190000-78195000	50	0.9536
chr1-78195000-78200000	64	0.9366
chr1-78200000-78205000	47	0.7092
chr1-78205000-78210000	63	0.9896
chr1-78210000-78215000	76	0.9546
chr1-78220000-78225000	13	0.1366
chr1-78230000-78235000	35	0.4844
chr1-78235000-78240000	36	0.4396
chr1-78240000-78245000	35	0.6578
chr1-78245000-78250000	44	0.617
chr1-78250000-78255000	76	0.798
chr1-78265000-78270000	30	0.5658
chr1-78280000-78285000	26	0.328
chr1-78295000-78300000	31	0.3414
chr1-78300000-78305000	33	0.4626
chr1-78305000-78310000	41	0.5826
chr1-78310000-78315000	136	1
chr1-78315000-78320000	46	0.5168
chr1-78340000-78345000	25	0.4132
chr1-78360000-78365000	34	0.5672
chr1-78365000-78370000	20	0.2472
chr1-78370000-78375000	21	0.37
chr1-78375000-78380000	2	0.033
chr1-78400000-78405000	33	0.395
chr1-78405000-78410000	50	0.6084
chr1-78445000-78450000	25	0.2812
chr1-78450000-78455000	29	0.3574
chr1-78460000-78465000	46	1
chr1-78465000-78470000	47	0.6766
chr1-78470000-78475000	35	0.4654
chr1-78475000-78480000	57	0.7286
chr1-78480000-78485000	42	0.5318
chr1-78545000-78550000	21	0.3808
chr1-78550000-78555000	50	0.6712
chr1-78590000-78595000	26	0.3716
chr1-78610000-78615000	38	0.9996
chr1-78685000-78690000	15	0.2344
chr1-78690000-78695000	32	0.4128
chr1-78700000-78705000	43	0.5826
chr1-78715000-78720000	11	0.2232
chr1-78795000-78800000	19	0.2726
chr1-78815000-78820000	29	0.34
chr1-78865000-78870000	10	0.0668
chr1-78870000-78875000	74	0.994
chr1-78875000-78880000	79	1
chr1-79015000-79020000	19	0.4344
chr1-79020000-79025000	13	0.2388
chr1-79115000-79120000	34	0.4828
chr1-79195000-79200000	8	0.0706
chr1-79200000-79205000	42	0.9816
chr1-79240000-79245000	13	0.3188
chr1-79245000-79250000	9	0.1332
chr1-79270000-79275000	37	0.5192
chr1-79275000-79280000	58	0.7928
chr1-79280000-79285000	27	0.4634
chr1-79465000-79470000	33	0.5348
chr1-79485000-79490000	28	0.4738
chr1-79490000-79495000	40	0.8266
chr1-79690000-79695000	24	0.4782
chr1-79695000-79700000	146	1
chr1-79855000-79860000	55	0.909
chr1-79870000-79875000	19	0.1684
chr1-79890000-79895000	120	1
chr1-79895000-79900000	1	0.0162
chr1-79900000-79905000	8	0.091
chr1-79930000-79935000	106	1
chr1-79935000-79940000	26	0.465
chr1-79960000-79965000	26	0.4372
chr1-79965000-79970000	11	0.2052
chr1-79975000-79980000	3	0.1082
chr1-80050000-80055000	82	0.8976
chr1-80055000-80060000	4	0.0472
chr1-80080000-80085000	20	0.2228
chr1-80090000-80095000	10	0.3676
chr1-80140000-80145000	28	0.3914
chr1-80150000-80155000	35	0.8812
chr1-80155000-80160000	14	0.2108
chr1-80250000-80255000	24	0.3542
chr1-80255000-80260000	26	0.4032
chr1-80260000-80265000	53	0.9926
chr1-80320000-80325000	1	0.0186
chr1-80340000-80345000	12	0.1146
chr1-80345000-80350000	9	0.1644
chr1-80510000-80515000	21	0.2854
chr1-80575000-80580000	40	0.532
chr1-80590000-80595000	36	0.5358
chr1-80820000-80825000	6	0.0914
chr1-81000000-81005000	18	0.2374
chr1-81135000-81140000	10	0.2514
chr1-81240000-81245000	14	0.2008
chr1-81245000-81250000	56	0.994
chr1-81250000-81255000	24	0.2714
chr1-81295000-81300000	17	0.2654
chr1-81370000-81375000	12	0.2546
chr1-81375000-81380000	40	0.4888
chr1-81380000-81385000	2	0.005
chr1-81410000-81415000	21	0.2872
chr1-81425000-81430000	20	0.2602
chr1-81430000-81435000	13	0.2312
chr1-81435000-81440000	10	0.1708
chr1-81505000-81510000	20	0.3182
chr1-81580000-81585000	11	0.075
chr1-81610000-81615000	16	0.1606
chr1-81625000-81630000	13	0.284
chr1-81630000-81635000	41	0.5238
chr1-81650000-81655000	34	0.4852
chr1-81655000-81660000	31	0.513
chr1-81690000-81695000	19	0.1876
chr1-81695000-81700000	17	0.2314
chr1-81850000-81855000	1	0.0306
chr1-81855000-81860000	14	0.1974
chr1-81920000-81925000	7	0.123
chr1-81995000-82000000	16	0.295
chr1-82040000-82045000	24	0.2996
chr1-82045000-82050000	29	0.313
chr1-82065000-82070000	49	0.6418
chr1-82070000-82075000	61	0.7294
chr1-82110000-82115000	8	0.102
chr1-82135000-82140000	49	0.7346
chr1-82140000-82145000	18	0.3254
chr1-82155000-82160000	23	0.2972
chr1-82160000-82165000	9	0.1504
chr1-82190000-82195000	36	0.3646
chr1-82270000-82275000	16	0.2478
chr1-82285000-82290000	20	0.2322
chr1-82290000-82295000	21	0.293
chr1-82330000-82335000	6	0.0566
chr1-82345000-82350000	28	0.2644
chr1-82350000-82355000	96	1
chr1-82355000-82360000	68	1
chr1-82360000-82365000	13	0.298
chr1-82380000-82385000	20	0.2942
chr1-82395000-82400000	31	0.5488
chr1-82400000-82405000	1	0.0106
chr1-82405000-82410000	16	0.3336
chr1-82480000-82485000	32	0.5324
chr1-82485000-82490000	5	0.052
chr1-82620000-82625000	39	0.691
chr1-82625000-82630000	50	0.706
chr1-82630000-82635000	27	0.3348
chr1-82685000-82690000	55	0.932
chr1-82755000-82760000	18	0.4304
chr1-82880000-82885000	15	0.2532
chr1-82885000-82890000	4	0.0814
chr1-82890000-82895000	16	0.1508
chr1-82930000-82935000	15	0.142
chr1-82935000-82940000	19	0.224
chr1-82955000-82960000	60	0.9388
chr1-83000000-83005000	9	0.1218
chr1-83005000-83010000	46	0.704
chr1-83040000-83045000	8	0.0858
chr1-83045000-83050000	25	0.2804
chr1-83050000-83055000	32	0.5538
chr1-83055000-83060000	9	0.1638
chr1-83065000-83070000	30	0.358
chr1-83165000-83170000	64	0.7982
chr1-83175000-83180000	25	0.5728
chr1-83210000-83215000	20	0.417
chr1-83275000-83280000	29	0.3888
chr1-83375000-83380000	9	0.0936
chr1-83405000-83410000	27	0.2952
chr1-83445000-83450000	6	0.0706
chr1-83450000-83455000	13	0.1296
chr1-83470000-83475000	11	0.145
chr1-83480000-83485000	92	1
chr1-83545000-83550000	12	0.2624
chr1-83560000-83565000	41	0.5152
chr1-83620000-83625000	6	0.1112
chr1-83625000-83630000	38	0.3404
chr1-83640000-83645000	16	0.182
chr1-83645000-83650000	21	0.3744
chr1-83650000-83655000	5	0.1666
chr1-83655000-83660000	28	0.4066
chr1-83660000-83665000	35	0.4238
chr1-83665000-83670000	39	0.4658
chr1-83670000-83675000	7	0.1024
chr1-83710000-83715000	23	0.2498
chr1-83715000-83720000	34	0.433
chr1-83720000-83725000	35	0.394
chr1-83750000-83755000	13	0.2434
chr1-83815000-83820000	29	0.5092
chr1-83820000-83825000	43	0.6492
chr1-83825000-83830000	19	0.2544
chr1-83830000-83835000	22	0.7192
chr1-83845000-83850000	10	0.2626
chr1-83850000-83855000	10	0.1942
chr1-84220000-84225000	17	0.2664
chr1-85620000-85625000	6	0.1236
chr1-85800000-85805000	20	0.376
chr1-85805000-85810000	6	0.0278
chr1-85915000-85920000	56	0.7798
chr1-85975000-85980000	50	0.8734
chr1-86015000-86020000	13	0.129
chr1-86020000-86025000	7	0.0616
chr1-86055000-86060000	21	0.3974
chr1-86100000-86105000	29	0.751
chr1-86105000-86110000	19	0.213
chr1-86115000-86120000	4	0.0222
chr1-86200000-86205000	38	0.5052
chr1-86205000-86210000	16	0.1542
chr1-86275000-86280000	80	1
chr1-86280000-86285000	24	0.487
chr1-87010000-87015000	55	0.6926
chr1-87015000-87020000	36	0.4702
chr1-87650000-87655000	15	0.272
chr1-87655000-87660000	16	0.2044
chr1-87745000-87750000	8	0.2026
chr1-87780000-87785000	2	0.0686
chr1-87785000-87790000	2	0.044
chr1-87810000-87815000	13	0.2432
chr1-87815000-87820000	13	0.1782
chr1-87825000-87830000	3	0.0612
chr1-87960000-87965000	13	0.2834
chr1-87965000-87970000	6	0.1056
chr1-87970000-87975000	8	0.1622
chr1-87975000-87980000	18	0.2682
chr1-87980000-87985000	6	0.1482
chr1-87985000-87990000	6	0.1536
