subject.id	ncell_pat	nfrags_pat	ncell_mat	nfrags_mat	total_frags	pat_ratio	p_value	fdr	significance	type	chrom	start	end	fc
65	4	4	2	2	6	0.666666666666667	0.6875	1	N.S.	none	chr1	48036579	48036729	33
66	7	9	2	2	11	0.818181818181818	0.0654296875	0.422943136846689	N.S.	none	chr1	48070262	48070653	22
67	4	4	6	10	14	0.285714285714286	0.1795654296875	0.686600803144176	N.S.	none	chr1	48074140	48074752	26
68	1	1	5	7	8	0.125	0.0703125	0.43947812174658	N.S.	none	chr1	48096602	48096888	18
69	10	10	8	10	20	0.5	1	1	N.S.	none	chr1	48114664	48115446	21
70	8	8	8	8	16	0.5	1	1	N.S.	none	chr1	48118392	48120074	18
71	4	4	4	4	8	0.5	1	1	N.S.	none	chr1	48122862	48123614	23
72	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	48127311	48127479	28
73	9	10	7	8	18	0.555555555555556	0.814529418945313	1	N.S.	none	chr1	48136375	48138113	21
74	7	7	10	12	19	0.368421052631579	0.359283447265625	0.913303948681226	N.S.	none	chr1	48150113	48152649	20
75	9	10	8	10	20	0.5	1	1	N.S.	none	chr1	48161672	48164032	25
76	9	10	7	7	17	0.588235294117647	0.629058837890625	1	N.S.	none	chr1	48167681	48170405	20
77	10	11	6	8	19	0.578947368421053	0.647605895996094	1	N.S.	none	chr1	48186850	48187862	34
78	7	7	6	6	13	0.538461538461538	1	1	N.S.	none	chr1	48212160	48212311	65
79	5	5	6	7	12	0.416666666666667	0.7744140625	1	N.S.	none	chr1	48215422	48216265	18
80	4	4	4	4	8	0.5	1	1	N.S.	none	chr1	48253477	48255753	22
82	12	16	16	20	36	0.444444444444444	0.617719317029696	1	N.S.	none	chr1	48263557	48275769	22
83	2	2	4	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	48279661	48284907	25
84	3	3	5	5	8	0.375	0.7265625	1	N.S.	none	chr1	48287165	48290110	32
85	15	18	22	37	55	0.327272727272727	0.0144538335338278	0.180834266531522	N.S.	none	chr1	48292223	48299887	24
86	10	10	16	25	35	0.285714285714286	0.0166738478001207	0.197363269074191	N.S.	none	chr1	48302015	48317691	22
88	10	10	12	16	26	0.384615384615385	0.326939582824707	0.882129537331498	N.S.	none	chr1	48327050	48342036	24
89	21	24	20	28	52	0.461538461538462	0.677808639142461	1	N.S.	none	chr1	48350813	48364220	22
90	51	94	46	71	165	0.56969696969697	0.086459858114835	0.4987665103756	N.S.	none	chr1	48366461	48377990	25
91	6	6	7	8	14	0.428571428571429	0.79052734375	1	N.S.	none	chr1	48387169	48388172	21
92	1	1	2	2	3	0.333333333333333	1	1	N.S.	none	chr1	48390385	48394019	25
96	17	30	10	11	41	0.731707317073171	0.0043240049344604	0.0798049494605909	N.S.	none	chr1	48409459	48415318	24
98	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	48432775	48433699	18
100	9	9	11	15	24	0.375	0.307456254959107	0.848493388364176	N.S.	none	chr1	48445686	48449408	18
104	4	4	2	2	6	0.666666666666667	0.6875	1	N.S.	none	chr1	48545746	48546856	18
105	7	9	8	8	17	0.529411764705882	1	1	N.S.	none	chr1	48560614	48561743	22
106	9	10	4	4	14	0.714285714285714	0.1795654296875	0.686600803144176	N.S.	none	chr1	48565392	48566533	26
107	2	2	7	7	9	0.222222222222222	0.1796875	0.686600803144176	N.S.	none	chr1	48796804	48797646	22
108	20	32	13	29	61	0.524590163934426	0.798152627305719	1	N.S.	none	chr1	48811730	48818492	23
109	16	21	11	13	34	0.617647058823529	0.229481013026088	0.759165611287253	N.S.	none	chr1	48823892	48827456	19
110	17	18	12	14	32	0.5625	0.596614895854146	1	N.S.	none	chr1	48829878	48834329	21
111	3	3	6	6	9	0.333333333333333	0.5078125	0.986818908182807	N.S.	none	chr1	48852459	48853810	18
112	9	11	6	6	17	0.647058823529412	0.332305908203125	0.884531397638831	N.S.	none	chr1	48858810	48860035	24
113	2	3	5	5	8	0.375	0.7265625	1	N.S.	none	chr1	48862161	48863100	26
114	21	33	23	38	71	0.464788732394366	0.635307642087667	1	N.S.	none	chr1	48868999	48876047	23
115	19	25	19	25	50	0.5	1	1	N.S.	none	chr1	48878340	48883369	22
116	11	12	12	15	27	0.444444444444444	0.701108038425446	1	N.S.	none	chr1	48885447	48887124	20
117	17	20	8	11	31	0.645161290322581	0.149612784385681	0.630703598781203	N.S.	none	chr1	48901928	48904626	24
118	2	2	0	0	2	1	0.5	0.986818908182807	N.S.	none	chr1	48915228	48915378	20
119	7	9	5	5	14	0.642857142857143	0.4239501953125	0.958455121782155	N.S.	none	chr1	48918702	48920580	20
120	9	11	10	11	22	0.5	1	1	N.S.	none	chr1	48923604	48926016	19
121	2	2	3	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	48936006	48936593	21
122	52	80	47	78	158	0.506329113924051	0.936624069648503	1	N.S.	none	chr1	48939965	48951787	25
123	59	86	48	72	158	0.544303797468354	0.301015538196568	0.840528338978429	N.S.	none	chr1	48953914	48965841	22
124	34	48	30	41	89	0.539325842696629	0.525014787292427	1	N.S.	none	chr1	48969585	48976395	23
125	61	107	36	55	162	0.660493827160494	5.36476608353549e-05	0.0024474545245738	**	pat	chr1	48985143	48995120	20
126	19	23	12	17	40	0.575	0.429590507843387	0.965861565165892	N.S.	none	chr1	48997133	48998738	21
127	122	284	107	239	523	0.54302103250478	0.0542524502928619	0.395718795278445	N.S.	none	chr1	49000817	49028011	24
128	11	12	8	8	20	0.6	0.50344467163086	0.986818908182807	N.S.	none	chr1	49030123	49031229	18
129	97	213	90	179	392	0.543367346938776	0.0954384038051081	0.522956973451858	N.S.	none	chr1	49034076	49055763	23
130	83	159	84	142	301	0.528239202657807	0.356431909518892	0.913303948681226	N.S.	none	chr1	49057888	49075737	24
131	64	102	46	74	176	0.579545454545455	0.0415249276345993	0.333853304704211	N.S.	none	chr1	49077761	49084372	26
132	153	356	137	368	724	0.49171270718232	0.682706626346856	1	N.S.	none	chr1	49087776	49127255	22
133	35	38	16	17	55	0.690909090909091	0.00645580310995665	0.107062536910968	N.S.	none	chr1	49130046	49138664	27
134	55	71	36	49	120	0.591666666666667	0.0547797969137023	0.398429072670777	N.S.	none	chr1	49140675	49146445	23
135	26	31	27	31	62	0.5	1	1	N.S.	none	chr1	49148680	49153501	21
136	63	96	65	118	214	0.448598130841121	0.150967517816497	0.63500885020193	N.S.	none	chr1	49155799	49165689	27
137	43	67	38	45	112	0.598214285714286	0.0467350681939599	0.36333261629784	N.S.	none	chr1	49173528	49178543	19
138	84	134	68	116	250	0.536	0.282272409685212	0.825380636819709	N.S.	none	chr1	49180570	49192494	27
139	137	304	127	274	578	0.525951557093426	0.22769420280143	0.759165611287253	N.S.	none	chr1	49194913	49235867	26
140	58	83	36	51	134	0.619402985074627	0.00717811548550077	0.115508797587073	N.S.	none	chr1	49240657	49247195	21
141	187	501	168	429	930	0.538709677419355	0.019853468765465	0.222679115240671	N.S.	none	chr1	49249589	49302940	26
142	35	48	59	86	134	0.358208955223881	0.00130375867109864	0.0335169785687713	*	mat	chr1	49305301	49310234	29
143	7	7	18	20	27	0.259259259259259	0.0191572904586792	0.217092332918901	N.S.	none	chr1	49312626	49314666	20
144	31	38	24	28	66	0.575757575757576	0.267811664846587	0.802339324948398	N.S.	none	chr1	49317746	49320519	21
145	64	102	42	67	169	0.603550295857988	0.00871533114531399	0.129774270546087	N.S.	none	chr1	49322709	49331788	23
146	32	49	45	67	116	0.422413793103448	0.114083165408502	0.5712884801436	N.S.	none	chr1	49334033	49341896	38
147	5	6	4	5	11	0.545454545454545	1	1	N.S.	none	chr1	49344054	49345352	38
148	15	17	17	22	39	0.435897435897436	0.522397380496841	1	N.S.	none	chr1	49347377	49350906	22
149	10	12	14	16	28	0.428571428571429	0.571588188409806	1	N.S.	none	chr1	49353103	49354266	23
150	51	61	36	43	104	0.586538461538462	0.0950436747994082	0.522956973451858	N.S.	none	chr1	49356970	49363676	26
151	39	53	43	64	117	0.452991452991453	0.355279681652247	0.911935117232287	N.S.	none	chr1	49372770	49379143	20
152	55	81	46	70	151	0.536423841059603	0.41585549376431	0.958455121782155	N.S.	none	chr1	49382961	49391321	23
153	98	168	109	196	364	0.461538461538462	0.15691931147316	0.650297181961506	N.S.	none	chr1	49401148	49420865	25
154	101	177	103	202	379	0.467018469656992	0.217599118610161	0.749275874652192	N.S.	none	chr1	49422943	49442000	26
155	89	152	73	147	299	0.508361204013378	0.817109214229002	1	N.S.	none	chr1	49444069	49456273	28
156	246	795	224	722	1517	0.524060646011866	0.06448210417771	0.422943136846689	N.S.	none	chr1	49458300	49525866	27
157	29	41	37	57	98	0.418367346938776	0.129292583953573	0.586424179405758	N.S.	none	chr1	49528064	49534665	27
158	67	115	73	108	223	0.515695067264574	0.687932180325461	1	N.S.	none	chr1	49539530	49552032	25
159	72	136	54	92	228	0.596491228070175	0.0043004502032198	0.0798049494605909	N.S.	none	chr1	49557788	49567231	30
160	95	183	106	201	384	0.4765625	0.385678870850667	0.91815366488741	N.S.	none	chr1	49572826	49590201	26
161	142	324	148	296	620	0.52258064516129	0.278200144330489	0.825380636819709	N.S.	none	chr1	49596304	49633544	26
162	8	8	11	11	19	0.421052631578947	0.647605895996094	1	N.S.	none	chr1	49636970	49638619	20
163	11	12	14	15	27	0.444444444444444	0.701108038425446	1	N.S.	none	chr1	49641258	49642856	20
164	125	232	104	220	452	0.513274336283186	0.604928387386906	1	N.S.	none	chr1	49650257	49672799	27
165	72	133	78	139	272	0.488970588235294	0.76182531885802	1	N.S.	none	chr1	49679182	49697773	21
166	54	97	55	80	177	0.548022598870056	0.229021562333659	0.759165611287253	N.S.	none	chr1	49700580	49715223	24
167	81	135	81	142	277	0.487364620938628	0.718540449168731	1	N.S.	none	chr1	49717462	49727993	24
168	161	382	147	350	732	0.521857923497268	0.251864018527441	0.784835790491434	N.S.	none	chr1	49730421	49770577	29
169	191	523	180	566	1089	0.480257116620753	0.20309343571157	0.73872466472422	N.S.	none	chr1	49772672	49833464	27
170	72	120	65	119	239	0.502092050209205	1	1	N.S.	none	chr1	49836574	49850484	31
171	47	68	47	66	134	0.507462686567164	0.931201745633596	1	N.S.	none	chr1	49854444	49865780	24
172	10	11	3	3	14	0.785714285714286	0.057373046875	0.407978867039536	N.S.	none	chr1	49868511	49869652	18
173	106	198	94	179	377	0.525198938992042	0.353917388017865	0.908966567516161	N.S.	none	chr1	49874583	49893945	26
174	28	41	25	33	74	0.554054054054054	0.415985197507307	0.958455121782155	N.S.	none	chr1	49896027	49901182	23
175	168	395	151	399	794	0.497481108312343	0.915221397946878	1	N.S.	none	chr1	49903391	49936209	27
176	53	84	52	79	163	0.515337423312883	0.754160389805438	1	N.S.	none	chr1	49938577	49947596	27
177	91	171	80	127	298	0.573825503355705	0.0126108317137357	0.165904172261556	N.S.	none	chr1	49950392	49972802	25
178	119	209	84	185	394	0.530456852791878	0.24653504625181	0.780095574485768	N.S.	none	chr1	49975184	50005224	24
179	25	30	19	25	55	0.545454545454545	0.590053331776636	1	N.S.	none	chr1	50007899	50012232	23
180	2	2	2	3	5	0.4	1	1	N.S.	none	chr1	50014506	50016594	25
181	4	4	0	0	4	1	0.125	0.5712884801436	N.S.	none	chr1	50019030	50019371	35
182	1	1	2	2	3	0.333333333333333	1	1	N.S.	none	chr1	50023191	50023362	21
183	19	24	16	18	42	0.571428571428571	0.440799067342597	0.973117748316187	N.S.	none	chr1	50034963	50038614	25
184	10	10	12	12	22	0.454545454545455	0.831811904907227	1	N.S.	none	chr1	50040969	50042474	23
185	14	15	15	17	32	0.46875	0.860050065908582	1	N.S.	none	chr1	50060549	50063399	24
186	21	28	37	57	85	0.329411764705882	0.00219490890778059	0.0493621143165798	*	mat	chr1	50070847	50076716	25
187	8	8	14	15	23	0.347826086956522	0.210039615631104	0.747517167225699	N.S.	none	chr1	50080439	50082475	21
188	4	6	7	7	13	0.461538461538462	1	1	N.S.	none	chr1	50089569	50092404	27
190	10	13	9	10	23	0.565217391304348	0.677639484405518	1	N.S.	none	chr1	50118385	50121289	18
191	11	11	12	15	26	0.423076923076923	0.557197093963623	1	N.S.	none	chr1	50130472	50133447	22
192	6	6	12	14	20	0.3	0.115318298339844	0.5712884801436	N.S.	none	chr1	50136467	50137671	23
193	14	14	11	15	29	0.482758620689655	1	1	N.S.	none	chr1	50144027	50148260	20
194	11	12	9	12	24	0.5	1	1	N.S.	none	chr1	50157571	50160292	19
195	12	15	11	15	30	0.5	1	1	N.S.	none	chr1	50162559	50166430	26
196	17	25	23	28	53	0.471698113207547	0.7838463022095	1	N.S.	none	chr1	50174123	50179017	23
197	9	10	1	1	11	0.909090909090909	0.01171875	0.158327523389709	N.S.	none	chr1	50181140	50182165	28
198	9	10	10	11	21	0.476190476190476	1	1	N.S.	none	chr1	50184986	50186973	21
199	5	5	6	11	16	0.3125	0.210113525390625	0.747517167225699	N.S.	none	chr1	50189790	50190910	20
202	7	7	11	12	19	0.368421052631579	0.359283447265625	0.913303948681226	N.S.	none	chr1	50234940	50236860	19
205	2	2	1	1	3	0.666666666666667	1	1	N.S.	none	chr1	50311863	50312616	18
207	3	4	1	1	5	0.8	0.375	0.913883750365105	N.S.	none	chr1	51126323	51128092	18
208	10	11	8	8	19	0.578947368421053	0.647605895996094	1	N.S.	none	chr1	55493183	55494757	20
209	1	1	1	2	3	0.333333333333333	1	1	N.S.	none	chr1	55507777	55507927	22
210	6	7	5	5	12	0.583333333333333	0.7744140625	1	N.S.	none	chr1	55514598	55515675	19
211	5	6	4	4	10	0.6	0.75390625	1	N.S.	none	chr1	55547307	55548550	19
212	14	15	13	16	31	0.483870967741935	1	1	N.S.	none	chr1	55566714	55570352	19
213	1	1	4	5	6	0.166666666666667	0.21875	0.749275874652192	N.S.	none	chr1	55573348	55573917	18
214	10	14	6	7	21	0.666666666666667	0.189247131347656	0.704805746650195	N.S.	none	chr1	55581777	55583377	25
215	2	2	2	2	4	0.5	1	1	N.S.	none	chr1	55585859	55586084	18
217	2	2	5	6	8	0.25	0.2890625	0.825380636819709	N.S.	none	chr1	55776270	55777973	18
218	3	4	8	10	14	0.285714285714286	0.1795654296875	0.686600803144176	N.S.	none	chr1	56608148	56609842	18
219	16	26	13	18	44	0.590909090909091	0.291215236545896	0.828634488180599	N.S.	none	chr1	56673254	56678835	21
220	4	4	6	8	12	0.333333333333333	0.3876953125	0.91815366488741	N.S.	none	chr1	56868717	56869969	20
222	4	4	8	12	16	0.25	0.076812744140625	0.460373739564835	N.S.	none	chr1	56890460	56891512	24
223	3	3	5	8	11	0.272727272727273	0.2265625	0.758088906960164	N.S.	none	chr1	56900685	56900921	32
224	14	14	12	13	27	0.518518518518518	1	1	N.S.	none	chr1	56906007	56908585	20
225	2	3	1	1	4	0.75	0.625	1	N.S.	none	chr1	56916601	56917429	18
226	10	11	9	11	22	0.5	1	1	N.S.	none	chr1	56929346	56933040	19
227	10	12	13	13	25	0.48	1	1	N.S.	none	chr1	56935782	56940913	20
228	9	13	9	9	22	0.590909090909091	0.523467063903809	1	N.S.	none	chr1	56959541	56962087	20
229	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	56972776	56973250	18
230	1	2	2	3	5	0.4	1	1	N.S.	none	chr1	56978167	56978523	21
231	2	2	1	2	4	0.5	1	1	N.S.	none	chr1	57036963	57037113	25
232	10	11	6	10	21	0.523809523809524	1	1	N.S.	none	chr1	57040961	57042925	22
233	9	9	12	17	26	0.346153846153846	0.168637543916702	0.675615317212453	N.S.	none	chr1	57076117	57078169	23
234	2	2	4	6	8	0.25	0.2890625	0.825380636819709	N.S.	none	chr1	57080676	57080947	28
235	1	1	4	5	6	0.166666666666667	0.21875	0.749275874652192	N.S.	none	chr1	57094050	57094845	22
236	4	4	12	12	16	0.25	0.076812744140625	0.460373739564835	N.S.	none	chr1	57202860	57203929	18
239	7	8	13	14	22	0.363636363636364	0.28627872467041	0.825380636819709	N.S.	none	chr1	57333634	57335566	21
240	5	7	9	9	16	0.4375	0.803619384765625	1	N.S.	none	chr1	57349339	57350914	20
241	12	17	26	30	47	0.361702127659574	0.0789406936814886	0.46696313783443	N.S.	none	chr1	57355469	57360897	24
242	6	7	18	19	26	0.269230769230769	0.0289592742919922	0.277479880711277	N.S.	none	chr1	57371187	57373339	38
243	13	16	18	21	37	0.432432432432432	0.511375781585229	0.990692453517661	N.S.	none	chr1	57375352	57379603	18
244	14	16	12	16	32	0.5	1	1	N.S.	none	chr1	57383188	57386500	23
245	3	4	2	3	7	0.571428571428571	1	1	N.S.	none	chr1	57389412	57390026	24
246	2	2	4	5	7	0.285714285714286	0.453125	0.973117748316187	N.S.	none	chr1	57395246	57395396	23
247	5	5	2	2	7	0.714285714285714	0.453125	0.973117748316187	N.S.	none	chr1	57397537	57397727	29
248	15	23	13	16	39	0.58974358974359	0.336783635189932	0.892412046363831	N.S.	none	chr1	57440421	57445511	21
251	3	3	2	2	5	0.6	1	1	N.S.	none	chr1	57482592	57482896	18
252	6	8	7	9	17	0.470588235294118	1	1	N.S.	none	chr1	57485220	57486028	27
253	3	3	4	5	8	0.375	0.7265625	1	N.S.	none	chr1	57489555	57489715	39
254	1	1	3	3	4	0.25	0.625	1	N.S.	none	chr1	57501902	57502052	21
255	10	11	9	9	20	0.55	0.823802947998047	1	N.S.	none	chr1	57507232	57508810	23
256	21	34	20	24	58	0.586206896551724	0.23704711476272	0.775246267134133	N.S.	none	chr1	57516538	57522621	22
265	7	7	6	6	13	0.538461538461538	1	1	N.S.	none	chr1	57585524	57587108	18
266	3	3	4	4	7	0.428571428571429	1	1	N.S.	none	chr1	57589864	57590505	32
267	2	2	1	1	3	0.666666666666667	1	1	N.S.	none	chr1	57592839	57594668	22
268	2	2	3	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	57598742	57600656	18
269	3	3	10	11	14	0.214285714285714	0.057373046875	0.407978867039536	N.S.	none	chr1	57615399	57620017	21
270	3	3	0	0	3	1	0.25	0.780095574485768	N.S.	none	chr1	57622944	57623916	18
275	16	19	12	17	36	0.527777777777778	0.86793940042844	1	N.S.	none	chr1	57674760	57679594	24
277	1	1	2	2	3	0.333333333333333	1	1	N.S.	none	chr1	57685080	57685654	19
278	9	9	6	6	15	0.6	0.60723876953125	1	N.S.	none	chr1	57688391	57690239	21
279	15	21	22	28	49	0.428571428571429	0.391602910547491	0.92214455336867	N.S.	none	chr1	57693156	57698785	22
286	3	4	1	1	5	0.8	0.375	0.913883750365105	N.S.	none	chr1	57786144	57786387	26
287	7	7	6	6	13	0.538461538461538	1	1	N.S.	none	chr1	57789339	57789904	32
288	2	4	5	6	10	0.4	0.75390625	1	N.S.	none	chr1	57791991	57792831	21
289	4	4	5	8	12	0.333333333333333	0.3876953125	0.91815366488741	N.S.	none	chr1	57802083	57802861	25
290	11	11	19	23	34	0.323529411764706	0.0576126729138197	0.408252414310139	N.S.	none	chr1	57805478	57808429	20
291	1	1	2	3	4	0.25	0.625	1	N.S.	none	chr1	57810485	57810635	27
292	7	8	6	6	14	0.571428571428571	0.79052734375	1	N.S.	none	chr1	57826686	57828218	22
293	10	11	6	8	19	0.578947368421053	0.647605895996094	1	N.S.	none	chr1	57830348	57832128	19
294	2	2	2	3	5	0.4	1	1	N.S.	none	chr1	57842896	57843046	18
295	22	27	20	27	54	0.5	1	1	N.S.	none	chr1	57845239	57848666	26
296	4	4	9	11	15	0.266666666666667	0.11846923828125	0.5712884801436	N.S.	none	chr1	57858706	57860531	18
297	4	5	3	3	8	0.625	0.7265625	1	N.S.	none	chr1	57883880	57884315	18
298	14	15	11	12	27	0.555555555555556	0.701108038425446	1	N.S.	none	chr1	57912950	57914603	18
299	22	30	24	33	63	0.476190476190476	0.801306492504069	1	N.S.	none	chr1	57938371	57944675	26
300	4	4	6	8	12	0.333333333333333	0.3876953125	0.91815366488741	N.S.	none	chr1	57955112	57957167	23
301	2	2	3	3	5	0.4	1	1	N.S.	none	chr1	57960737	57962003	18
302	1	1	4	4	5	0.2	0.375	0.913883750365105	N.S.	none	chr1	57965079	57967183	18
305	1	1	2	2	3	0.333333333333333	1	1	N.S.	none	chr1	58199873	58200023	24
306	6	7	9	9	16	0.4375	0.803619384765625	1	N.S.	none	chr1	58261748	58262893	18
307	6	8	5	5	13	0.615384615384615	0.5810546875	1	N.S.	none	chr1	58276031	58277680	20
308	1	1	2	2	3	0.333333333333333	1	1	N.S.	none	chr1	58280169	58281487	31
310	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	58287382	58290930	41
311	1	1	0	0	1	1	1	1	N.S.	none	chr1	58328632	58328782	28
312	7	13	10	10	23	0.565217391304348	0.677639484405518	1	N.S.	none	chr1	58356893	58359079	35
315	7	7	5	5	12	0.583333333333333	0.7744140625	1	N.S.	none	chr1	59951567	59953575	27
318	2	2	3	4	6	0.333333333333333	0.6875	1	N.S.	none	chr1	59993985	59995425	26
319	1	1	1	1	2	0.5	1	1	N.S.	none	chr1	59997955	59998575	19
321	33	49	31	55	104	0.471153846153846	0.62414351584468	1	N.S.	none	chr1	60005366	60016054	27
322	15	17	17	19	36	0.472222222222222	0.86793940042844	1	N.S.	none	chr1	60018463	60021442	19
323	37	65	50	86	151	0.43046357615894	0.10330013644773	0.549830865192296	N.S.	none	chr1	60025127	60041051	24
324	36	58	49	86	144	0.402777777777778	0.0241113647761379	0.245218637448047	N.S.	none	chr1	60043086	60055525	22
325	11	15	7	11	26	0.576923076923077	0.557197093963623	1	N.S.	none	chr1	60057702	60059560	27
326	43	72	40	81	153	0.470588235294118	0.517921030799045	1	N.S.	none	chr1	60068094	60082693	24
328	7	9	1	1	10	0.9	0.021484375	0.229815482549858	N.S.	none	chr1	60103793	60104028	36
329	31	43	23	33	76	0.565789473684211	0.301872490487009	0.840528338978429	N.S.	none	chr1	60106324	60113394	21
330	25	38	20	31	69	0.550724637681159	0.470368531858145	0.986818908182807	N.S.	none	chr1	60115832	60124777	30
331	2	2	7	7	9	0.222222222222222	0.1796875	0.686600803144176	N.S.	none	chr1	60127693	60129565	18
