stateseq	C1Epi	C2PaE	C3VE	C4ExE
chr11:20236000-20238000	E7	E1	E4	E6
chr11:22976000-22978000	E6	E1	E5	E7
chr11:23242000-23244000	E1	E6	E5	E4
chr11:32212000-32214000	E4	E6	E7	E5
chr11:35952000-35954000	E6	E1	E4	E7
chr11:46054000-46056000	E7	E1	E4	E6
chr11:50176000-50178000	E6	E4	E5	E7
chr11:50178000-50180000	E6	E4	E5	E7
chr11:50180000-50182000	E6	E4	E5	E7
chr11:50182000-50184000	E6	E4	E5	E7
chr11:51816000-51818000	E4	E6	E5	E7
chr11:54370000-54372000	E3	E4	E7	E1
chr11:54950000-54952000	E6	E4	E7	E5
chr11:54952000-54954000	E6	E4	E7	E5
chr11:57826000-57828000	E7	E4	E5	E6
chr11:60244000-60246000	E6	E4	E7	E1
chr11:60246000-60248000	E6	E4	E7	E1
chr11:60248000-60250000	E6	E4	E7	E1
chr11:69076000-69078000	E6	E4	E5	E7
chr11:69078000-69080000	E6	E4	E5	E7
chr11:69080000-69082000	E6	E4	E5	E7
chr11:69332000-69334000	E6	E4	E5	E7
chr11:70360000-70362000	E7	E6	E4	E5
chr11:70456000-70458000	E6	E4	E5	E7
chr11:70458000-70460000	E6	E4	E5	E7
chr11:73040000-73042000	E4	E7	E5	E6
chr11:73130000-73132000	E5	E4	E7	E6
chr11:73134000-73136000	E5	E4	E7	E6
chr11:75178000-75180000	E7	E4	E5	E6
chr11:75198000-75200000	E6	E5	E4	E7
chr11:75446000-75448000	E1	E6	E4	E7
chr11:75448000-75450000	E1	E6	E5	E7
chr11:75450000-75452000	E1	E6	E5	E7
chr11:77466000-77468000	E6	E7	E5	E4
chr11:77468000-77470000	E6	E7	E5	E4
chr11:83874000-83876000	E4	E1	E7	E3
chr11:88188000-88190000	E6	E1	E4	E7
chr11:94510000-94512000	E4	E6	E5	E7
chr11:95046000-95048000	E7	E5	E4	E6
chr11:95912000-95914000	E4	E7	E5	E6
chr11:95914000-95916000	E4	E7	E5	E6
chr11:95916000-95918000	E5	E7	E4	E6
chr11:96314000-96316000	E4	E7	E5	E6
chr11:96984000-96986000	E7	E6	E4	E5
chr11:96986000-96988000	E7	E6	E4	E5
chr11:97122000-97124000	E6	E4	E5	E7
chr11:97124000-97126000	E6	E4	E5	E7
chr11:97126000-97128000	E6	E4	E5	E7
chr11:97348000-97350000	E6	E1	E7	E4
chr11:97534000-97536000	E5	E6	E4	E7
chr11:97690000-97692000	E7	E4	E5	E6
chr11:97772000-97774000	E4	E3	E5	E7
chr11:98784000-98786000	E4	E6	E5	E7
chr11:99142000-99144000	E7	E5	E6	E4
chr11:100146000-100148000	E6	E4	E5	E7
chr11:100148000-100150000	E6	E4	E5	E7
chr11:100150000-100152000	E6	E4	E5	E7
chr11:100400000-100402000	E6	E7	E5	E4
chr11:100860000-100862000	E7	E5	E4	E6
chr11:100962000-100964000	E4	E6	E5	E7
chr11:102464000-102466000	E5	E2	E4	E6
chr11:102882000-102884000	E5	E6	E4	E7
chr11:102884000-102886000	E5	E6	E4	E7
chr11:102894000-102896000	E7	E6	E5	E4
chr11:102896000-102898000	E7	E6	E5	E4
chr11:115154000-115156000	E7	E4	E5	E6
chr11:115274000-115276000	E7	E5	E4	E6
chr11:115278000-115280000	E6	E1	E4	E7
chr11:115280000-115282000	E6	E1	E4	E7
chr11:115282000-115284000	E6	E1	E4	E7
chr11:115284000-115286000	E6	E1	E4	E7
chr11:115406000-115408000	E6	E4	E5	E7
chr11:115818000-115820000	E4	E6	E5	E7
chr11:115820000-115822000	E4	E6	E5	E7
chr11:115822000-115824000	E4	E6	E5	E7
chr11:116166000-116168000	E6	E4	E5	E7
chr11:116168000-116170000	E6	E2	E5	E7
chr11:116170000-116172000	E6	E2	E5	E7
chr11:116440000-116442000	E7	E4	E5	E6
chr11:116442000-116444000	E7	E4	E5	E6
chr11:116444000-116446000	E7	E4	E5	E6
chr11:116446000-116448000	E7	E4	E5	E6
chr11:117102000-117104000	E6	E4	E5	E7
chr11:117104000-117106000	E6	E4	E5	E7
chr11:117116000-117118000	E6	E4	E5	E7
chr11:117384000-117386000	E7	E4	E5	E6
chr11:117386000-117388000	E7	E4	E5	E6
chr11:117394000-117396000	E7	E4	E5	E6
chr11:117396000-117398000	E7	E4	E5	E6
chr11:117398000-117400000	E7	E4	E5	E6
chr11:117400000-117402000	E7	E4	E5	E6
chr11:117402000-117404000	E7	E4	E5	E6
chr11:117406000-117408000	E5	E4	E7	E6
chr11:117836000-117838000	E6	E1	E5	E7
chr11:118546000-118548000	E7	E6	E1	E4
chr11:118548000-118550000	E7	E6	E1	E4
chr11:119006000-119008000	E6	E7	E5	E4
chr11:120490000-120492000	E4	E6	E5	E7
chr11:120760000-120762000	E6	E4	E5	E7
chr12:4218000-4220000	E3	E5	E7	E1
chr12:4220000-4222000	E3	E5	E7	E1
chr12:20224000-20226000	E7	E1	E6	E4
chr12:37806000-37808000	E3	E7	E4	E1
chr12:71780000-71782000	E4	E7	E5	E6
chr12:71836000-71838000	E6	E7	E4	E1
chr12:80102000-80104000	E6	E2	E4	E7
chr12:80104000-80106000	E6	E2	E4	E7
chr12:80248000-80250000	E7	E2	E5	E6
chr12:85574000-85576000	E6	E1	E4	E7
chr12:86362000-86364000	E4	E1	E7	E6
chr12:88218000-88220000	E1	E7	E4	E3
chr12:100516000-100518000	E3	E5	E4	E7
chr12:100518000-100520000	E3	E5	E4	E7
chr12:102434000-102436000	E4	E6	E5	E7
chr12:102436000-102438000	E4	E6	E5	E7
chr12:104996000-104998000	E4	E7	E5	E6
chr12:104998000-105000000	E4	E7	E5	E6
chr12:105000000-105002000	E4	E7	E5	E6
chr12:105002000-105004000	E4	E7	E5	E6
chr12:106044000-106046000	E3	E1	E7	E4
chr12:108084000-108086000	E1	E4	E2	E6
chr12:108318000-108320000	E4	E7	E5	E6
chr12:110484000-110486000	E6	E4	E5	E7
chr12:111270000-111272000	E6	E4	E7	E5
chr12:111428000-111430000	E5	E6	E4	E7
chr12:111430000-111432000	E5	E6	E4	E7
chr12:111432000-111434000	E5	E6	E4	E7
chr12:111434000-111436000	E5	E6	E4	E7
chr12:112156000-112158000	E7	E4	E5	E6
chr12:112582000-112584000	E6	E7	E4	E5
chr12:112622000-112624000	E7	E4	E5	E6
chr12:112702000-112704000	E4	E6	E5	E7
chr13:3542000-3544000	E3	E4	E5	E7
chr13:12814000-12816000	E1	E2	E7	E4
chr13:12816000-12818000	E1	E2	E7	E6
chr13:12866000-12868000	E2	E4	E1	E6
chr13:13440000-13442000	E3	E4	E7	E5
chr13:21960000-21962000	E7	E4	E5	E6
chr13:24268000-24270000	E4	E3	E1	E7
chr13:34132000-34134000	E7	E5	E6	E4
chr13:38144000-38146000	E7	E4	E1	E6
chr13:49418000-49420000	E4	E6	E2	E7
chr13:49426000-49428000	E4	E6	E1	E7
chr13:53376000-53378000	E4	E6	E7	E5
chr13:54762000-54764000	E5	E4	E2	E6
chr13:55398000-55400000	E7	E4	E2	E6
chr13:55400000-55402000	E7	E4	E2	E6
chr13:55402000-55404000	E5	E4	E2	E6
chr13:56058000-56060000	E2	E4	E1	E3
chr13:65658000-65660000	E7	E1	E4	E6
chr13:65664000-65666000	E7	E2	E4	E6
chr13:66268000-66270000	E1	E2	E6	E7
chr13:66714000-66716000	E7	E4	E5	E6
chr13:66716000-66718000	E7	E4	E5	E6
chr13:66718000-66720000	E7	E4	E5	E6
chr13:66796000-66798000	E4	E1	E2	E6
chr13:66798000-66800000	E4	E1	E2	E6
chr13:71960000-71962000	E5	E6	E7	E4
chr13:112324000-112326000	E7	E1	E4	E3
chr14:25760000-25762000	E7	E6	E5	E4
chr14:25764000-25766000	E7	E4	E5	E6
chr14:29966000-29968000	E3	E4	E1	E7
chr14:31218000-31220000	E6	E5	E7	E4
chr14:31642000-31644000	E7	E1	E4	E6
chr14:34540000-34542000	E4	E6	E7	E5
chr14:34542000-34544000	E4	E6	E7	E5
chr14:43358000-43360000	E7	E6	E2	E4
chr14:48668000-48670000	E6	E5	E4	E7
chr14:54946000-54948000	E7	E4	E5	E6
chr14:55108000-55110000	E6	E4	E5	E7
chr14:55508000-55510000	E7	E4	E5	E6
chr14:55510000-55512000	E7	E4	E5	E6
chr14:55762000-55764000	E7	E4	E5	E6
chr14:55764000-55766000	E7	E4	E5	E6
chr14:62468000-62470000	E6	E7	E4	E1
chr14:63238000-63240000	E4	E6	E5	E7
chr14:63258000-63260000	E4	E6	E5	E2
chr14:64934000-64936000	E4	E6	E1	E7
chr14:64936000-64938000	E4	E6	E1	E7
chr14:64938000-64940000	E4	E6	E1	E7
chr14:70098000-70100000	E7	E6	E5	E4
chr14:70640000-70642000	E6	E1	E4	E5
chr14:73506000-73508000	E3	E4	E5	E7
chr15:9296000-9298000	E7	E1	E4	E3
chr15:27672000-27674000	E3	E7	E5	E4
chr15:27674000-27676000	E3	E7	E5	E4
chr15:31312000-31314000	E4	E7	E5	E6
chr15:36796000-36798000	E6	E7	E5	E4
chr15:38534000-38536000	E7	E1	E4	E3
chr15:57910000-57912000	E4	E7	E5	E6
chr15:73720000-73722000	E7	E4	E5	E6
chr15:75980000-75982000	E5	E6	E4	E7
chr15:75982000-75984000	E5	E6	E4	E7
chr15:75984000-75986000	E5	E6	E4	E7
chr15:75986000-75988000	E5	E6	E4	E7
chr15:75988000-75990000	E5	E6	E4	E7
chr15:75990000-75992000	E5	E6	E4	E7
chr15:75992000-75994000	E5	E6	E4	E7
chr15:75994000-75996000	E5	E6	E4	E7
chr15:76008000-76010000	E6	E7	E4	E5
chr15:76010000-76012000	E6	E7	E4	E5
chr15:76012000-76014000	E6	E7	E4	E5
chr15:76256000-76258000	E7	E6	E5	E4
chr15:76300000-76302000	E4	E6	E5	E7
chr15:76476000-76478000	E4	E6	E5	E7
chr15:76630000-76632000	E6	E4	E5	E7
chr15:78218000-78220000	E7	E1	E4	E6
chr15:78644000-78646000	E6	E2	E5	E4
chr15:78916000-78918000	E4	E6	E5	E7
chr15:78918000-78920000	E4	E6	E5	E7
chr15:80076000-80078000	E5	E6	E4	E7
chr15:81044000-81046000	E5	E4	E7	E6
chr15:82926000-82928000	E7	E6	E5	E4
chr15:82996000-82998000	E4	E6	E7	E1
chr15:82998000-83000000	E4	E6	E7	E1
chr15:84860000-84862000	E7	E5	E6	E4
chr15:85572000-85574000	E7	E4	E5	E6
chr15:87676000-87678000	E7	E3	E4	E1
chr15:89082000-89084000	E5	E7	E4	E6
chr15:89084000-89086000	E5	E6	E4	E7
chr15:89130000-89132000	E7	E4	E5	E6
chr15:89132000-89134000	E7	E4	E5	E6
chr15:89380000-89382000	E5	E6	E4	E7
chr15:89530000-89532000	E4	E6	E5	E7
chr15:89532000-89534000	E4	E6	E5	E7
chr15:89534000-89536000	E4	E6	E5	E7
chr15:89536000-89538000	E4	E6	E5	E7
chr15:89548000-89550000	E5	E7	E4	E6
chr15:97256000-97258000	E1	E4	E7	E6
chr15:98674000-98676000	E5	E7	E4	E6
chr15:99546000-99548000	E7	E4	E5	E6
chr15:99596000-99598000	E7	E6	E5	E4
chr15:99714000-99716000	E4	E6	E5	E7
chr15:101072000-101074000	E6	E4	E5	E7
chr15:101274000-101276000	E4	E6	E5	E7
chr15:101276000-101278000	E4	E6	E5	E7
chr15:101278000-101280000	E4	E6	E5	E7
chr16:4680000-4682000	E2	E4	E5	E7
chr16:4938000-4940000	E4	E1	E7	E6
chr16:4940000-4942000	E4	E1	E7	E6
chr16:5210000-5212000	E7	E5	E4	E6
chr16:17496000-17498000	E7	E1	E5	E6
chr16:17502000-17504000	E4	E1	E5	E6
chr16:17564000-17566000	E7	E3	E5	E4
chr16:17566000-17568000	E7	E3	E5	E4
chr16:17568000-17570000	E7	E3	E5	E4
chr16:17932000-17934000	E5	E4	E6	E7
chr16:30600000-30602000	E6	E7	E4	E5
chr16:30604000-30606000	E4	E7	E6	E5
chr16:30606000-30608000	E4	E7	E6	E5
chr16:30664000-30666000	E4	E6	E5	E7
chr16:31926000-31928000	E7	E1	E4	E6
chr16:31928000-31930000	E7	E1	E4	E6
chr16:31934000-31936000	E6	E5	E4	E7
chr16:35636000-35638000	E6	E4	E7	E1
chr16:36820000-36822000	E7	E3	E1	E4
chr16:55814000-55816000	E7	E4	E5	E6
chr16:55936000-55938000	E7	E6	E4	E5
chr16:87714000-87716000	E7	E4	E5	E3
chr17:6482000-6484000	E7	E4	E5	E6
chr17:10326000-10328000	E3	E7	E5	E1
chr17:12876000-12878000	E5	E6	E4	E1
chr17:12878000-12880000	E5	E6	E4	E1
chr17:12880000-12882000	E5	E6	E4	E1
chr17:13336000-13338000	E6	E7	E2	E1
chr17:13338000-13340000	E6	E7	E2	E1
chr17:13346000-13348000	E4	E6	E5	E1
chr17:13348000-13350000	E4	E6	E5	E1
chr17:13350000-13352000	E4	E7	E5	E1
chr17:13354000-13356000	E6	E7	E4	E1
chr17:13356000-13358000	E6	E7	E4	E1
chr17:13382000-13384000	E6	E7	E5	E2
chr17:13384000-13386000	E6	E7	E5	E1
chr17:13386000-13388000	E6	E7	E5	E1
chr17:13388000-13390000	E6	E7	E5	E1
chr17:13390000-13392000	E6	E7	E4	E1
chr17:13392000-13394000	E6	E7	E4	E1
chr17:13394000-13396000	E6	E7	E4	E1
chr17:13400000-13402000	E4	E7	E2	E1
chr17:13404000-13406000	E6	E7	E4	E1
chr17:13406000-13408000	E6	E7	E4	E1
chr17:17830000-17832000	E7	E6	E5	E4
chr17:17838000-17840000	E6	E4	E5	E7
chr17:17912000-17914000	E4	E7	E5	E3
chr17:23738000-23740000	E6	E4	E5	E7
chr17:23740000-23742000	E6	E4	E5	E7
chr17:23748000-23750000	E6	E4	E5	E7
chr17:23750000-23752000	E6	E4	E5	E7
chr17:27904000-27906000	E6	E4	E5	E7
chr17:28274000-28276000	E6	E4	E5	E7
chr17:29328000-29330000	E6	E5	E7	E4
chr17:29330000-29332000	E6	E5	E7	E4
chr17:32352000-32354000	E6	E4	E5	E7
chr17:34020000-34022000	E7	E6	E5	E4
chr17:34574000-34576000	E7	E4	E5	E6
chr17:35268000-35270000	E7	E4	E5	E6
chr17:35270000-35272000	E7	E4	E5	E6
chr17:35272000-35274000	E7	E4	E5	E6
chr17:35440000-35442000	E4	E7	E5	E6
chr17:35516000-35518000	E6	E4	E5	E7
chr17:36188000-36190000	E5	E4	E7	E6
chr17:36190000-36192000	E7	E4	E5	E6
chr17:40878000-40880000	E1	E3	E5	E7
chr17:46438000-46440000	E7	E1	E4	E6
chr17:46440000-46442000	E7	E1	E4	E6
chr17:46660000-46662000	E6	E1	E5	E7
chr17:46860000-46862000	E6	E4	E7	E5
chr17:47704000-47706000	E7	E6	E5	E4
chr17:47830000-47832000	E7	E4	E5	E6
chr17:47914000-47916000	E6	E4	E7	E5
chr17:55958000-55960000	E4	E6	E5	E7
chr17:55960000-55962000	E4	E6	E5	E7
chr17:55964000-55966000	E4	E6	E5	E7
chr17:56392000-56394000	E6	E4	E7	E5
chr17:56462000-56464000	E7	E6	E5	E4
chr17:56498000-56500000	E5	E2	E4	E6
chr17:56500000-56502000	E5	E2	E4	E6
chr17:56502000-56504000	E5	E2	E4	E6
chr17:56504000-56506000	E5	E2	E4	E7
chr17:56510000-56512000	E5	E4	E7	E6
chr17:57076000-57078000	E5	E7	E4	E6
chr17:57080000-57082000	E7	E5	E4	E6
chr17:57100000-57102000	E6	E5	E4	E7
chr17:57342000-57344000	E3	E5	E4	E7
chr17:66336000-66338000	E1	E7	E4	E3
chr18:3114000-3116000	E3	E4	E2	E7
chr18:3116000-3118000	E3	E4	E2	E7
chr18:3118000-3120000	E3	E4	E2	E7
chr18:4708000-4710000	E1	E2	E4	E3
chr18:10544000-10546000	E7	E6	E1	E4
chr18:11208000-11210000	E7	E4	E1	E3
chr18:24532000-24534000	E4	E3	E7	E5
chr18:24534000-24536000	E4	E3	E7	E5
chr18:24536000-24538000	E4	E3	E7	E5
chr18:35038000-35040000	E6	E1	E5	E7
chr18:38178000-38180000	E7	E4	E6	E5
chr18:38208000-38210000	E6	E4	E5	E7
chr18:38586000-38588000	E4	E5	E6	E7
chr18:60848000-60850000	E6	E4	E5	E7
chr18:60914000-60916000	E4	E7	E5	E6
chr18:60966000-60968000	E6	E5	E4	E7
chr18:68258000-68260000	E4	E1	E7	E3
chr19:3714000-3716000	E6	E4	E7	E5
chr19:4204000-4206000	E7	E4	E5	E6
chr19:4206000-4208000	E7	E4	E5	E6
chr19:4208000-4210000	E7	E4	E5	E6
chr19:4210000-4212000	E7	E4	E5	E6
chr19:5718000-5720000	E5	E6	E4	E7
chr19:5758000-5760000	E6	E4	E5	E7
chr19:5760000-5762000	E6	E4	E5	E7
chr19:6408000-6410000	E6	E4	E5	E7
chr19:7068000-7070000	E6	E4	E5	E7
chr19:7198000-7200000	E4	E6	E5	E7
chr19:7200000-7202000	E4	E6	E5	E7
chr19:7202000-7204000	E4	E6	E5	E7
chr19:7308000-7310000	E6	E1	E4	E7
chr19:10982000-10984000	E6	E7	E5	E4
chr19:11814000-11816000	E6	E4	E5	E7
chr19:11922000-11924000	E7	E6	E4	E5
chr19:11924000-11926000	E7	E6	E4	E5
chr19:37698000-37700000	E4	E6	E5	E7
chr19:45044000-45046000	E5	E6	E4	E7
chr19:45052000-45054000	E5	E4	E7	E6
chr19:53392000-53394000	E6	E4	E5	E7
chr19:53522000-53524000	E6	E4	E5	E7
chr19:53524000-53526000	E6	E4	E5	E7
chr19:53526000-53528000	E6	E4	E5	E7
chr19:55188000-55190000	E7	E4	E1	E3
chr19:56984000-56986000	E4	E5	E7	E6
chr1:34430000-34432000	E7	E2	E1	E6
chr1:36088000-36090000	E4	E7	E5	E6
chr1:36408000-36410000	E4	E7	E5	E6
chr1:43440000-43442000	E1	E6	E5	E4
chr1:58444000-58446000	E5	E1	E6	E7
chr1:74410000-74412000	E7	E4	E5	E6
chr1:75368000-75370000	E5	E7	E4	E6
chr1:75370000-75372000	E5	E7	E4	E6
chr1:75372000-75374000	E5	E7	E4	E6
chr1:85082000-85084000	E6	E1	E2	E4
chr1:85088000-85090000	E4	E2	E5	E1
chr1:85090000-85092000	E4	E2	E5	E1
chr1:85092000-85094000	E4	E2	E5	E1
chr1:85094000-85096000	E4	E2	E5	E1
chr1:85096000-85098000	E6	E2	E5	E4
chr1:85108000-85110000	E7	E2	E4	E1
chr1:85118000-85120000	E7	E6	E4	E1
chr1:85166000-85168000	E7	E1	E4	E3
chr1:85280000-85282000	E1	E7	E6	E4
chr1:85594000-85596000	E2	E4	E7	E6
chr1:85596000-85598000	E2	E4	E7	E6
chr1:87846000-87848000	E1	E4	E6	E7
chr1:88210000-88212000	E1	E4	E2	E6
chr1:88302000-88304000	E7	E5	E2	E4
chr1:88306000-88308000	E7	E5	E2	E4
chr1:88726000-88728000	E7	E5	E4	E6
chr1:91818000-91820000	E1	E4	E7	E3
chr1:91820000-91822000	E1	E4	E7	E3
chr1:91822000-91824000	E1	E4	E7	E3
chr1:93684000-93686000	E6	E4	E7	E5
chr1:93686000-93688000	E6	E4	E7	E5
chr1:119500000-119502000	E4	E1	E7	E3
chr1:119502000-119504000	E4	E1	E7	E3
chr1:119504000-119506000	E4	E1	E7	E3
chr1:121560000-121562000	E3	E4	E5	E7
chr1:131088000-131090000	E4	E7	E5	E6
chr1:131090000-131092000	E4	E7	E5	E6
chr1:131118000-131120000	E4	E6	E5	E7
chr1:131120000-131122000	E4	E6	E5	E7
chr1:131122000-131124000	E4	E6	E5	E7
chr1:131958000-131960000	E7	E6	E2	E4
chr1:132204000-132206000	E6	E4	E5	E7
chr1:132944000-132946000	E7	E4	E5	E6
chr1:133354000-133356000	E7	E5	E4	E6
chr1:133356000-133358000	E7	E5	E4	E6
chr1:133358000-133360000	E7	E5	E4	E6
chr1:136220000-136222000	E7	E4	E5	E6
chr1:136232000-136234000	E7	E2	E6	E4
chr1:151184000-151186000	E4	E2	E1	E6
chr1:151186000-151188000	E4	E2	E1	E6
chr1:151188000-151190000	E4	E2	E1	E6
chr1:156620000-156622000	E4	E7	E5	E6
chr1:157096000-157098000	E7	E1	E4	E3
chr1:165858000-165860000	E7	E6	E4	E1
chr1:171220000-171222000	E6	E5	E4	E7
chr1:171382000-171384000	E7	E6	E4	E5
chr1:171384000-171386000	E7	E6	E4	E5
chr1:172294000-172296000	E4	E7	E5	E6
chr1:172314000-172316000	E7	E6	E5	E4
chr1:172320000-172322000	E7	E5	E4	E6
chr1:172514000-172516000	E6	E5	E4	E7
chr1:177464000-177466000	E7	E4	E5	E3
chr1:180792000-180794000	E7	E6	E5	E4
chr1:180852000-180854000	E6	E1	E5	E7
chr1:181428000-181430000	E7	E1	E4	E6
chr1:186730000-186732000	E7	E4	E5	E3
chr1:186732000-186734000	E7	E4	E5	E3
chr2:10364000-10366000	E4	E6	E7	E5
chr2:18680000-18682000	E4	E6	E5	E7
chr2:18682000-18684000	E4	E6	E5	E7
chr2:25182000-25184000	E5	E6	E4	E7
chr2:25314000-25316000	E7	E6	E5	E4
chr2:25464000-25466000	E7	E4	E5	E6
chr2:25566000-25568000	E7	E6	E5	E4
chr2:25570000-25572000	E7	E6	E5	E4
chr2:25572000-25574000	E7	E6	E5	E4
chr2:27040000-27042000	E6	E1	E7	E4
chr2:27042000-27044000	E6	E1	E7	E4
chr2:30496000-30498000	E4	E7	E2	E6
chr2:30498000-30500000	E4	E6	E2	E7
chr2:30716000-30718000	E5	E6	E4	E7
chr2:31474000-31476000	E7	E4	E6	E5
chr2:31974000-31976000	E5	E7	E4	E6
chr2:32346000-32348000	E7	E4	E5	E6
chr2:34918000-34920000	E1	E6	E4	E7
chr2:34960000-34962000	E6	E7	E4	E1
chr2:36084000-36086000	E7	E4	E5	E6
chr2:60874000-60876000	E5	E6	E4	E7
chr2:71540000-71542000	E6	E5	E4	E7
chr2:73484000-73486000	E5	E6	E4	E7
chr2:84734000-84736000	E7	E6	E5	E4
chr2:84800000-84802000	E4	E6	E5	E7
chr2:84818000-84820000	E7	E1	E4	E6
chr2:84826000-84828000	E7	E6	E4	E5
chr2:90676000-90678000	E4	E6	E5	E7
chr2:91922000-91924000	E4	E6	E7	E5
chr2:91924000-91926000	E4	E6	E7	E5
chr2:91934000-91936000	E6	E5	E7	E4
chr2:92940000-92942000	E6	E5	E4	E7
chr2:93258000-93260000	E4	E7	E5	E6
chr2:118600000-118602000	E6	E4	E7	E5
chr2:118664000-118666000	E5	E6	E4	E7
chr2:118758000-118760000	E6	E7	E5	E4
chr2:119316000-119318000	E5	E4	E7	E6
chr2:119318000-119320000	E5	E4	E7	E6
chr2:121500000-121502000	E6	E4	E5	E7
chr2:127364000-127366000	E4	E7	E5	E6
chr2:128174000-128176000	E7	E1	E4	E6
chr2:129156000-129158000	E7	E4	E5	E6
chr2:130288000-130290000	E7	E4	E5	E6
chr2:130290000-130292000	E7	E4	E5	E6
chr2:132596000-132598000	E7	E4	E6	E5
chr2:140166000-140168000	E3	E4	E5	E7
chr2:153084000-153086000	E7	E6	E4	E1
chr2:153100000-153102000	E6	E7	E5	E4
chr2:155064000-155066000	E6	E4	E7	E1
chr2:155066000-155068000	E6	E4	E7	E1
chr2:155068000-155070000	E6	E4	E7	E1
chr2:156810000-156812000	E7	E4	E6	E1
chr2:163910000-163912000	E7	E4	E6	E1
chr2:163912000-163914000	E7	E4	E6	E1
chr2:163914000-163916000	E7	E4	E6	E1
chr2:164408000-164410000	E5	E6	E4	E7
chr2:164410000-164412000	E5	E6	E4	E7
chr2:164414000-164416000	E7	E6	E4	E5
chr2:164456000-164458000	E7	E6	E4	E5
chr2:164458000-164460000	E7	E6	E4	E5
chr2:164460000-164462000	E7	E6	E4	E5
chr2:164462000-164464000	E7	E6	E4	E5
chr2:164466000-164468000	E7	E6	E4	E5
chr2:165292000-165294000	E7	E4	E5	E6
chr2:167828000-167830000	E6	E5	E4	E7
chr2:167924000-167926000	E4	E7	E5	E6
chr2:168472000-168474000	E4	E2	E5	E6
chr2:172552000-172554000	E4	E6	E5	E7
chr2:172554000-172556000	E4	E6	E5	E7
chr2:174076000-174078000	E3	E4	E5	E7
chr2:174278000-174280000	E6	E4	E5	E7
chr2:174284000-174286000	E6	E4	E5	E7
chr2:174442000-174444000	E7	E4	E5	E6
chr2:176798000-176800000	E7	E5	E1	E3
chr2:176800000-176802000	E7	E5	E1	E3
chr2:180282000-180284000	E7	E6	E5	E4
chr2:180288000-180290000	E6	E4	E7	E5
chr2:180888000-180890000	E7	E6	E5	E4
chr2:180890000-180892000	E7	E4	E5	E6
chr3:51260000-51262000	E6	E7	E5	E4
chr3:51262000-51264000	E6	E7	E5	E4
chr3:67362000-67364000	E4	E6	E7	E1
chr3:67580000-67582000	E4	E1	E6	E7
chr3:86002000-86004000	E4	E7	E5	E6
chr3:87948000-87950000	E4	E6	E5	E7
chr3:87952000-87954000	E6	E4	E5	E7
chr3:88154000-88156000	E4	E6	E5	E7
chr3:88246000-88248000	E7	E5	E4	E6
chr3:88450000-88452000	E4	E6	E5	E7
chr3:88482000-88484000	E7	E4	E5	E6
